freq_c0,c0,fre_c1,c1,freq_c2,c2,freq_c5,c5,freq_c10,c10,freq_t0,t0,freq_t1,freq_t1,freq_t2,t2,freq_t5,t5,freq_t10,t10
347.86045,0.018930427,350.3835,-0.002060644,350.3835,-8.74E-04,350.17322,0.003254377,349.75267,-0.002584718,348.49115,0.019418193,350.59378,-0.003734966,350.80406,-0.002484537,349.96294,0.006168756,349.96294,-0.007228999
349.80297,0.009524048,352.32602,-0.001216077,352.32602,-0.002131565,352.11574,0.001000643,351.6952,-0.004887656,350.43368,0.011597288,352.5363,-0.004406712,352.74659,-0.001245982,351.90547,-3.74E-04,351.90547,-0.004965893
351.74506,0.002674322,354.26811,-0.003531087,354.26811,-0.004055886,354.05783,-8.52E-04,353.63729,-0.005449562,352.37576,0.003070756,354.47839,-0.005797061,354.68868,-0.008304469,353.84756,-0.003943035,353.84756,-0.007660136
353.6867,-0.003543639,356.20975,-0.006192908,356.20975,-0.006152536,355.99947,-0.006709689,355.57893,-0.007373569,354.31741,-0.001404716,356.42003,-0.010130011,356.63032,-0.014484172,355.7892,-0.00814146,355.7892,-0.01025841
355.62791,-0.00182782,358.15096,-0.003700521,358.15096,-0.003194777,357.94068,-0.003311942,357.52014,-0.004753215,356.25861,0.002603426,358.36124,-0.007500086,358.57153,-0.011230477,357.73041,-0.004326616,357.73041,-0.005698208
357.56867,5.34E-04,360.09172,-0.003757432,360.09172,-0.001773627,359.88144,-0.00116496,359.4609,-0.003198713,358.19938,0.00356411,360.302,-0.003481669,360.51229,-0.00458405,359.67117,-0.001580616,359.67117,-0.002329994
359.50899,-0.003493584,362.03204,-0.005508386,362.03204,-0.003093351,361.82177,-0.006632418,361.40122,-0.005512896,360.1397,-1.57E-04,362.24233,-0.00751238,362.45261,-0.011762263,361.61149,-0.006003177,361.61149,-0.009603343
361.44888,4.04E-04,363.97193,-0.004103665,363.97193,-0.001986976,363.76165,-3.60E-04,363.34111,-0.003188378,362.07958,0.001737842,364.18221,-0.004077798,364.3925,-0.010519548,363.55138,-0.00134026,363.55138,-0.003583418
363.38832,-0.002019188,365.91137,-0.004098609,365.91137,-0.001400158,365.70109,-0.001751939,365.28055,-0.004103666,364.01903,2.53E-04,366.12165,-0.005260313,366.33194,-0.007622357,365.49082,-0.003406535,365.49082,-0.006100627
365.32733,7.59E-04,367.85038,-8.01E-04,367.85038,-0.00224156,367.6401,4.63E-04,367.21956,-0.002540731,365.95803,0.001160424,368.06066,-0.004625447,368.27095,-0.005221004,367.42982,-0.004726023,367.42982,-0.004279381
367.26589,0.001283719,369.78894,-0.002167099,369.78894,-5.13E-04,369.57866,-7.73E-05,369.15812,-0.002328321,367.89659,0.002261171,369.99922,-0.003231388,370.20951,-0.006287546,369.36839,-0.002949165,369.36839,-0.004133609
369.20402,-0.00232076,371.72707,-0.006806219,371.72707,-0.004509575,371.51679,-0.004519416,371.09624,-0.004263656,369.83472,-0.00195761,371.93735,-0.010460085,372.14763,-0.015635384,371.30651,-0.00813968,371.30651,-0.009439576
371.1417,-7.66E-04,373.66475,-0.002972521,373.66475,-3.16E-04,373.45447,-6.63E-04,373.03393,-0.001353916,371.77241,0.00166931,373.87503,-0.004258724,374.08532,-0.002792913,373.2442,-0.00361247,373.2442,-0.004046
373.07895,-0.003555116,375.602,-0.00575842,375.602,-0.004021506,375.39172,-0.003438089,374.97118,-0.003425592,373.70965,-0.004000648,375.81228,-0.012300661,376.02257,-0.014226004,375.18145,-0.005695165,375.18145,-0.009248545
375.01575,-0.005937683,377.5388,-0.004600554,377.5388,-0.003274141,377.32853,-0.003143125,376.90798,-0.002739416,375.64646,-0.001677893,377.74909,-0.008877909,377.95937,-0.010333869,377.11825,-0.005609902,377.11825,-0.006782049
376.95212,-0.003912826,379.47517,-0.003995187,379.47517,-0.001993295,379.26489,-0.001526798,378.84435,-0.001947241,377.58283,-0.002441563,379.68545,-0.00852951,379.89574,-0.010152943,379.05462,-0.006018608,379.05462,-0.006809858
378.88805,-0.002173915,381.4111,-0.002094155,381.4111,-0.001486162,381.20082,-2.66E-04,380.78028,-7.38E-04,379.51875,0.001340407,381.62138,-0.001706041,381.83167,-0.004889455,380.99055,-0.003593677,380.99055,-0.001868867
380.82354,-0.0069255,383.34659,-0.00544382,383.34659,-0.00347603,383.13631,-0.006047301,382.71577,-0.003861243,381.45424,-0.004353258,383.55687,-0.009549887,383.76716,-0.009755144,382.92604,-0.007039579,382.92604,-0.006579749
382.75859,-0.004526201,385.28164,-0.003444132,385.28164,-0.001285879,385.07136,-0.003245067,384.65082,-0.003193339,383.3893,0.001535923,385.49192,-0.00803637,385.70221,-0.009415276,384.86109,-0.005902287,384.86109,-0.004974072
384.6932,-0.00410696,387.21626,-0.003554776,387.21626,-0.001642961,387.00598,-0.005249455,386.58543,-0.004011145,385.32391,-5.49E-05,387.42654,-0.006851303,387.63682,-0.009558175,386.7957,-0.005739477,386.7957,-0.004116342
386.62738,-0.005738018,389.15043,-0.006769964,389.15043,-0.003385849,388.94015,-0.003031253,388.51961,-0.004247202,387.25808,-0.003133975,389.36071,-0.008252786,389.571,-0.015134793,388.72988,-0.007126028,388.72988,-0.009142761
388.56112,-0.002033292,391.08417,-0.002670921,391.08417,-5.49E-04,390.87389,-2.87E-05,390.45335,-0.002114341,389.19182,9.91E-04,391.29445,-0.004954362,391.50473,-0.007332995,390.66361,-0.002233041,390.66361,-0.004076354
390.49441,0.002747191,393.01746,-4.99E-06,393.01746,0.002741946,392.80719,0.003356008,392.38664,3.74E-04,391.12512,0.005935096,393.22775,0.001156072,393.43803,0.002886199,392.59691,0.002864299,392.59691,-0.001285414
392.42727,0.002365007,394.95032,-0.001381755,394.95032,-0.001246465,394.74005,-6.65E-04,394.3195,-0.002470369,393.05798,0.004805329,395.16061,-0.002177145,395.37089,-0.004519582,394.52977,0.001363999,394.52977,-0.0034391
394.3597,0.006643286,396.88275,0.00256071,396.88275,0.002621026,396.67247,0.003284013,396.25193,-3.17E-04,394.9904,0.008263574,397.09303,0.00222632,397.30332,8.02E-04,396.4622,0.004968358,396.4622,-5.01E-06
396.29168,0.011859189,398.81473,0.002092855,398.81473,0.00273252,398.60445,0.006569577,398.18391,-9.37E-04,396.92239,0.011906707,399.02501,0.005749973,399.2353,0.008804466,398.39418,0.009635628,398.39418,-3.80E-04
398.22323,0.009303089,400.74628,0.002330755,400.74628,0.001761096,400.536,0.006264218,400.11546,-0.002178006,398.85393,0.011717323,400.95656,0.003931201,401.16685,0.003271223,400.32573,0.006489034,400.32573,-4.18E-04
400.15434,0.011083758,402.67739,0.002945365,402.67739,0.002231921,402.46711,0.007314823,402.04657,-4.94E-04,400.78504,0.013410885,402.88767,0.007121301,403.09796,0.006165741,402.25684,0.007901104,402.25684,-1.57E-04
402.08501,0.008005405,404.60806,-4.83E-04,404.60806,-0.001476844,404.39778,0.002358779,403.97724,-0.00415526,402.71571,0.00956951,404.81834,-0.001790473,405.02863,-0.002298561,404.18751,4.19E-04,404.18751,-0.004079262
404.01525,0.008578267,406.5383,-2.83E-04,406.5383,0.00179162,406.32802,0.00409846,405.90747,-0.001113311,404.64595,0.008743848,406.74858,0.001966528,406.95886,0.001715082,406.11774,0.003373498,406.11774,-0.002157503
405.94504,0.0036844,408.46809,-0.004121143,408.46809,-0.002315354,408.25782,-0.001939996,407.83727,-0.00508849,406.57575,0.004350805,408.67838,-0.005978451,408.88866,-0.009397748,408.04754,-0.004073797,408.04754,-0.008562761
407.8744,0.001376776,410.39745,-0.001321811,410.39745,-0.002686252,410.18718,2.25E-04,409.76663,-0.004464325,408.50511,0.00345552,410.60774,-0.00270763,410.81802,-0.004185954,409.9769,-0.003618801,409.9769,-0.004970255
409.80333,0.001920186,412.32638,-0.001300866,412.32638,3.18E-04,412.1161,-4.26E-04,411.69556,-0.002138484,410.43403,0.004151475,412.53666,-0.001077671,412.74695,-0.005940252,411.90583,-3.92E-04,411.90583,-0.004527303
411.73182,0.001709874,414.25487,-0.003496854,414.25487,-3.58E-05,414.04459,-9.55E-04,413.62404,-0.002340476,412.36252,0.001050472,414.46515,-0.007238207,414.67543,-0.001691315,413.83431,-5.68E-04,413.83431,-0.002505576
413.65987,-0.001699365,416.18292,-0.004489909,416.18292,-0.002557942,415.97264,-0.003394644,415.5521,-0.004487476,414.29057,-0.001470797,416.3932,-0.005938322,416.60349,-0.012864752,415.76236,-0.008298929,415.76236,-0.006854935
415.58748,-0.001903316,418.11053,-0.002024821,418.11053,-0.001032688,417.90025,-0.002647537,417.47971,-0.003474788,416.21819,-0.001400629,418.32081,-0.006259582,418.5311,-0.007253078,417.68998,-0.001060734,417.68998,-0.004328457
417.51466,-0.006417626,420.03771,-0.004806676,420.03771,-0.001417295,419.82743,-0.0051396,419.40689,-0.003143978,418.14536,-0.002042902,420.24799,-0.010933277,420.45828,-0.009162456,419.61716,-0.007970342,419.61716,-0.00689056
419.4414,-0.003459016,421.96445,-0.003155243,421.96445,-0.002059913,421.75417,-0.002472358,421.33363,-0.003043272,420.07211,-0.00188499,422.17473,-0.01097039,422.38502,-0.013145202,421.5439,-0.004451641,421.5439,-0.004262841
421.36771,-0.002284118,423.89076,-0.00181191,423.89076,-0.002353804,423.68048,-0.001288469,423.25994,-0.002020579,421.99841,-3.53E-04,424.10104,-0.004440114,424.31133,-0.002671108,423.47021,-0.00401346,423.47021,-0.002738775
423.29358,-0.003118176,425.81663,-0.004654142,425.81663,-2.58E-04,425.60635,-0.005231767,425.18581,-0.002835823,423.92428,-0.002466088,426.02691,-0.00936293,426.2372,-0.009401016,425.39608,-0.006776473,425.39608,-0.007069958
425.21901,-0.003368448,427.74206,-0.002611699,427.74206,3.95E-04,427.53178,-8.40E-04,427.11124,-0.003237822,425.84972,-9.26E-04,427.95234,-0.005538197,428.16263,-0.0072305,427.32151,-0.00355886,427.32151,-0.003958028
427.14401,-0.004299573,429.66706,-0.002703277,429.66706,-0.001467526,429.45678,-0.003745931,429.03624,-0.002154111,427.77471,-0.003359329,429.87734,-0.007279959,430.08763,-0.009408741,429.24651,-0.003977654,429.24651,-0.001691468
429.06857,-0.003710948,431.59162,-0.001847444,431.59162,9.05E-04,431.38134,-0.001215853,430.9608,-9.89E-04,429.69928,-0.001223234,431.8019,-0.006424039,432.01219,-0.00637489,431.17107,-0.005256193,431.17107,-0.001483715
430.9927,-0.004892207,433.51575,-0.001982066,433.51575,5.99E-04,433.30547,-3.52E-04,432.88493,-0.001854472,431.6234,-0.002182964,433.72603,-0.004706864,433.93632,-0.006066216,433.0952,-0.005952732,433.0952,-0.001904674
