v_c0,c0,v_t0,t0,v_ref,pbttt_ref,v,f4tcnq_ref,v,annealled @275 C
1494.44612,0.293743405786665,1495.07682,0.363013043916327,1273.91639961035,0.00150757698746503,1495.07682394357,0.0119924873673161,2496.20808775939,0.0709438121346472
1496.13343,0.269842778769865,1496.76414,0.337397882075143,1275.64685776237,0.003062597608443,1496.76413769189,0.0147942709246823,2499.5055351972,0.0624959275090988
1497.82038,0.253223129544054,1498.45108,0.313498761228386,1277.3769333665,0.00262209824310263,1498.45108229973,0.0161043617073106,2502.80168509934,0.0545460029376638
1499.50695,0.236668818533231,1500.13766,0.295424217920465,1279.10662652594,0.00386817628662154,1500.13765786412,0.0148024062477661,2506.09653816104,0.0496775160371673
1501.19316,0.226090193424123,1501.82386,0.279850262350902,1280.83593734378,0.00451651352398927,1501.82386448203,0.0111661313852725,2509.39009507677,0.0468484722467688
1502.879,0.213768050257051,1503.5097,0.263560273537307,1282.56486592311,0.0039258214862457,1503.50970225039,0.00615925445784626,2512.68235654024,0.0478604007636735
1504.56447,0.209535882413299,1505.19517,0.256897516514802,1284.29341236695,0.00508125264610033,1505.19517126608,0.00599945825844056,2515.97332324439,0.0476912767526452
1506.24957,0.206194983037371,1506.88027,0.249703392348292,1286.0215767783,0.00406905007151852,1506.88027162597,0.00447319793258651,2519.26299588143,0.0465541870153788
1507.9343,0.206521213984034,1508.565,0.247596524722471,1287.74935926005,0.00593737403975982,1508.56500342685,0.00398680087979424,2522.5513751428,0.048763045746964
1509.61866,0.203307862165815,1510.24937,0.236092870410797,1289.47675991512,0.00564260167334653,1510.24936676549,0.00337646315721078,2525.83846171918,0.048694889343685
1511.30266,0.183629280170726,1511.93336,0.211961857718232,1291.20377884633,0.00682282675284481,1511.93336173857,0.00280652885772905,2529.12425630051,0.0495412032306094
1512.98628,0.158481705529868,1513.61699,0.185036465612785,1292.93041615647,0.00714390339899626,1513.61698844279,0.0034215654721634,2532.40875957596,0.04870841403569
1514.66954,0.130356180696054,1515.30025,0.15749972227748,1294.65667194828,0.00877302898487948,1515.30024697478,0.00323342963937209,2535.69197223395,0.0467469515846996
1516.35243,0.107442252751222,1516.98314,0.135093637699993,1296.38254632446,0.00655851184045469,1516.98313743112,0.0016500757570878,2538.97389496215,0.0448612676310699
1518.03496,0.0932907315901527,1518.66566,0.121857614893161,1298.10803938766,0.00896852519269516,1518.66565990834,0.00360816028209161,2542.25452844748,0.0422752560199058
1519.71711,0.0830455154287912,1520.34781,0.114115589404692,1299.83315124046,0.0109102649845517,1520.34781450295,0.00227052771861499,2545.53387337609,0.0415137329018732
1521.3989,0.0771915794685242,1522.0296,0.104460352849691,1301.55788198543,0.011090148239859,1522.02960131139,0.00203287592851406,2548.81193043339,0.0421217909877808
1523.08032,0.0731089533140049,1523.71102,0.100224089780586,1303.28223172507,0.0117944436867788,1523.71102043008,0.00236190655152383,2552.08870030404,0.0400866315347793
1524.76137,0.071005062791405,1525.39207,0.0988940185027785,1305.00620056184,0.0156491531225156,1525.39207195538,0.00351045613578723,2555.36418367194,0.0407404322407098
1526.44205,0.0652322934587704,1527.07276,0.0911106575694242,1306.72978859814,0.0134380466113252,1527.07275598363,0.00220221190125636,2558.63838122024,0.0402742728099914
1528.12237,0.0591053173803793,1528.75307,0.0858293311149978,1308.45299593634,0.0126605637906539,1528.75307261109,2.05034264986075E-4,2561.91129363135,0.0391088164138799
1529.80232,0.0572167668902737,1530.43302,0.0832092839409213,1310.17582267877,0.0137981632221458,1530.43302193401,6.86113810810058E-5,2565.1829215869,0.0406066282896576
1531.4819,0.0580040463680465,1532.1126,0.0829732585506243,1311.89826892768,0.017393778283041,1532.11260404857,0.00194755930151011,2568.45326576781,0.0402405817463758
1533.16111,0.0523321371531956,1533.79182,0.0773361372543447,1313.62033478531,0.0152283870225775,1533.79181905093,1.52590731622228E-4,2571.72232685421,0.0411935144506457
1534.83996,0.0530714712647592,1535.47067,0.0759176081244817,1315.34202035382,0.0190296891142526,1535.47066703718,8.38690487145714E-4,2574.99010552551,0.0415687266123384
1536.51844,0.0496812461377983,1537.14915,0.0723626565257042,1317.06332573535,0.0210698190710447,1537.14914810342,6.79713369165213E-4,2578.25660246037,0.0413581637494492
1538.19656,0.0487346702513727,1538.82726,0.0702889605944037,1318.78425103198,0.0244924770467733,1538.82726234564,0.00154445367886358,2581.52181833667,0.0413474445511761
1539.87431,0.0425430001375783,1540.50501,0.0643656946809033,1320.50479634575,0.0252648360182202,1540.50500985983,4.23100269244149E-4,2584.78575383156,0.0392078483315095
1541.55169,0.0426246268934854,1542.18239,0.0624341926800094,1322.22496177865,0.0276468672639229,1542.18239074191,0.00119637045874411,2588.04840962146,0.0408280662115827
1543.2287,0.0394812145729987,1543.85941,0.0588567132637692,1323.94474743261,0.0315751584101057,1543.85940508779,-5.62075483994029E-5,2591.30978638203,0.0429559954989827
1544.90535,0.0379179747730072,1545.53605,0.0596803220031157,1325.66415340954,0.037518229477586,1545.53605299331,3.41747406753814E-4,2594.56988478815,0.0440846888661196
1546.58163,0.0373209123239377,1547.21233,0.0568706484756263,1327.38317981128,0.0399477631281359,1547.21233455426,4.8203785034038E-4,2597.82870551401,0.04754797535059
1548.25755,0.03705679869434,1548.88825,0.0552383117570923,1329.10182673963,0.0447059358471226,1548.88824986643,0.00195560873609003,2601.08624923299,0.049249029661168
1549.93309,0.0295618612556809,1550.5638,0.0496535831372053,1330.82009429637,0.0478550480192893,1550.56379902552,-4.14190608866395E-4,2604.34251661779,0.0487538449341873
1551.60828,0.0301680342445867,1552.23898,0.0507726369688718,1332.53798258318,0.0546095704747215,1552.23898212722,0.00290310236741376,2607.59750834032,0.0457310712432911
1553.28309,0.028979798988362,1553.9138,0.0468682975221984,1334.25549170175,0.0565000408087923,1553.91379926714,0.00153228513000911,2610.85122507174,0.0421757188117385
1554.95755,0.024586954351134,1555.58825,0.0422642523322233,1335.97262175369,0.0575042950343829,1555.58825054089,-4.858147329474E-4,2614.1036674825,0.0410320628113646
1556.63163,0.0268158157131045,1557.26234,0.0465215964782201,1337.68937284055,0.0618907144183732,1557.26233604401,0.00254295896441494,2617.35483624226,0.0395177095836551
1558.30535,0.024527321726751,1558.93606,0.044086112065558,1339.40574506388,0.062096457060738,1558.936055872,4.67089992659322E-4,2620.60473201999,0.0405979905867339
1559.97871,0.026682378513482,1560.60941,0.0435753093053837,1341.12173852516,0.0640724125122588,1560.60941012034,0.00190729354329065,2623.85335548386,0.0453599818501652
1561.65169,0.0243239450293953,1562.2824,0.0432698403676788,1342.83735332581,0.068536875172497,1562.28239888444,5.99112473745959E-4,2627.10070730132,0.0526830645998821
1563.32432,0.0268098340455352,1563.95502,0.0431735287810952,1344.55258956722,0.0718097079546488,1563.95502225967,9.70730591286293E-4,2630.34678813909,0.0605538219593052
1564.99658,0.0249823885902912,1565.62728,0.0401831160208434,1346.26744735074,0.0730127786524637,1565.62728034135,3.09028621904957E-4,2633.59159866311,0.0661223449068766
1566.66847,0.022128396954503,1567.29917,0.0380043247209212,1347.98192677765,0.0749972780656908,1567.2991732248,-0.0016624443491697,2636.83513953862,0.0679267097644132
1568.34,0.0247555453509329,1568.9707,0.038678505827006,1349.69602794921,0.078278326195637,1568.97070100526,7.28884578153595E-4,2640.07741143009,0.0653326135046453
1570.01116,0.0222977241595412,1570.64186,0.034978983509741,1351.40975096662,0.0762876892856577,1570.64186377792,-0.00128364188433096,2643.31841500125,0.0573523011122143
1571.68196,0.0225568684037736,1572.31266,0.038742679105191,1353.12309593104,0.0793087077550134,1572.31266163796,7.88497452271122E-4,2646.55815091508,0.0515430889246187
1573.35239,0.0192612456500623,1573.98309,0.0347165034347171,1354.83606294358,0.0772444208840066,1573.98309468049,-0.00260606006867875,2649.79661983384,0.0483078116529469
1575.02246,0.0224690759289875,1575.65316,0.0373083391676591,1356.54865210531,0.079089754833395,1575.6531630006,-1.87686882782459E-4,2653.03382241905,0.0456509688667021
1576.69216,0.0240098614691804,1577.32287,0.0384983866259168,1358.26086351725,0.081934631190439,1577.32286669331,-4.38965283241683E-4,2656.26975933144,0.0434717739577298
1578.3615,0.0278460429198452,1578.99221,0.0431363268806982,1359.97269728035,0.0841858589324582,1578.99220585362,5.39891846825008E-4,2659.50443123107,0.0413749766007745
1580.03048,0.0303054285473704,1580.66118,0.0454484249903766,1361.68415349558,0.0837066589595077,1580.66118057649,-5.74965286266351E-4,2662.7378387772,0.0429045916138303
1581.69909,0.035138339866388,1582.32979,0.0496316753514159,1363.39523226379,0.0863903324982294,1582.32979095681,1.99257227121019E-4,2665.96998262837,0.0438437985154332
1583.36733,0.0380324546877178,1583.99804,0.0521211025196537,1365.10593368584,0.0884506001683151,1583.99803708945,-5.15047549351745E-4,2669.2008634424,0.0433628725343731
1585.03521,0.0420310614193025,1585.66592,0.0577739312849898,1366.81625786251,0.09266618076297,1585.66591906924,0.00134273361420218,2672.43048187634,0.0418365456806377
1586.70273,0.0387992124444453,1587.33344,0.0524631533260824,1368.52620489454,0.0915072454413061,1587.33343699095,-3.5706701690158E-4,2675.65883858651,0.0416652094523298
1588.36989,0.0378234644254125,1589.00059,0.04979102349145,1370.23577488265,0.0932322965877865,1589.00059094933,-2.8006579510483E-4,2678.88593422848,0.0418990408187875
1590.03668,0.0345119212334014,1590.66738,0.0454988542331371,1371.94496792749,0.0967729446524385,1590.66738103908,-9.24684287115063E-4,2682.11176945713,0.0421190659383136
1591.7031,0.0309533811836064,1592.33381,0.046513329389243,1373.65378412967,0.104122318955373,1592.33380735484,4.27949892173468E-4,2685.33634492653,0.0451855384621324
1593.36917,0.0282574896229571,1593.99987,0.0421884017908582,1375.36222358975,0.111226233833004,1593.99986999123,-0.0010181908774192,2688.55966129006,0.048659513978277
1595.03486,0.0311325551337202,1595.66557,0.0434071773833113,1377.07028640825,0.120961142911501,1595.66556904281,-0.00161172319702262,2691.78171920034,0.0478213852952874
1596.7002,0.0358004644534803,1597.3309,0.0500253954639516,1378.77797268566,0.135734957046016,1597.33090460412,4.70241101011935E-4,2695.00251930927,0.0484732151167325
1598.36517,0.0415820682489864,1598.99588,0.0560326756691821,1380.4852825224,0.157244416030632,1598.99587676963,9.74620239432452E-4,2698.22206226799,0.0504340038470055
1600.02978,0.0518923465483708,1600.66049,0.0650027772252033,1382.19221601886,0.188597004238291,1600.6604856338,0.00117176678080713,2701.44034872691,0.0512192504814789
1601.69403,0.0627095941806657,1602.32473,0.0764166302828636,1383.89877327537,0.231648642041938,1602.32473129102,-6.09829437249681E-6,2704.65737933571,0.049721971548955
1603.35791,0.0750636702499923,1603.98861,0.08833343236617,1385.60495439224,0.304107665808266,1603.98861383565,8.99549378572441E-5,2707.87315474334,0.0517092163867865
1605.02143,0.0884864402498129,1605.65213,0.101339836776662,1387.31075946972,0.410286501179532,1605.65213336201,5.29137304737635E-4,2711.08767559798,0.0541244749905619
1606.68459,0.0986572996820053,1607.31529,0.111995184420671,1389.01618860799,0.544834140773103,1607.31528996437,0.00120259931018264,2714.30094254711,0.0547322917436752
1608.34738,0.102786122715291,1608.97808,0.116054531785665,1390.72124190724,0.686731569228699,1608.97808373697,8.9896824069587E-4,2717.51295623746,0.0547426992204226
1610.00981,0.105275692757627,1610.64051,0.114285064728723,1392.42591946758,0.776423389642187,1610.640514774,0.00116691798194404,2720.72371731502,0.0575804008248111
1611.67188,0.100016426579402,1612.30258,0.11059401617766,1394.13022138907,0.76906437936824,1612.3025831696,0.00278104390755473,2723.93322642503,0.0574990817287184
1613.33358,0.0901533929628902,1613.96429,0.100077452289854,1395.83414777175,0.667343955105637,1613.96428901788,9.1726700890135E-4,2727.14148421204,0.0595920806080492
1614.99493,0.0855353615480924,1615.62563,0.0963364911890916,1397.53769871559,0.531449220920116,1615.62563241291,0.00494734776894929,2730.34849131981,0.0641248032031617
1616.65591,0.077775850351561,1617.28661,0.0895688454751897,1399.24087432054,0.410278857114384,1617.28661344871,0.00459193349440012,2733.55424839141,0.070391984589775
1618.31653,0.0708116248647798,1618.94723,0.0818598883426295,1400.94367468649,0.331714550870324,1618.94723221926,0.0026338324793117,2736.75875606914,0.0760679408528716
1619.97678,0.0723096184754386,1620.60749,0.0864383055567755,1402.64609991329,0.297866529283807,1620.60748881852,0.00466527746928235,2739.96201499459,0.082709751180258
1621.63668,0.0693853192392975,1622.26738,0.0828193873570375,1404.34815010072,0.293182011581447,1622.26738334035,0.0022249836517466,2743.1640258086,0.0878668369081826
1623.29621,0.0814439009307015,1623.92692,0.0956766741501045,1406.04982534858,0.325835374986289,1623.92691587864,0.00460502680774605,2746.36478915129,0.0903082700645897
1624.95538,0.0926646810597858,1625.58609,0.103750726599617,1407.75112575656,0.384793948359447,1625.58608652718,0.00389078385762048,2749.56430566203,0.0892533541437284
