Wavelenght [nm],pristine,doped
349.394195548042,0.22669845995893198,
349.41388638412997,0.22510821355236102,
349.443426800056,0.22351796714579103,
349.46312318575104,0.22175102669404503,
349.49267192784697,0.220160780287474,
349.512373865494,0.21857053388090397,
349.53207802458,0.216980287474333,
349.56163842922797,0.215390041067762,
349.581348143554,0.212032854209446,
349.601060080634,0.20867566735112897,
349.63063215474,0.20531848049281304,
349.65034965035005,0.20196129363449697,
349.67006937003,0.19878080082135502,
349.699653120505,0.19542361396303895,
349.719378402008,0.19206642710472302,
349.74897049698194,0.18870924024640698,
349.76870134266096,0.18535205338809,
349.78843441466904,0.180934702258727,
349.818038197873,0.17644667351129398,
349.837776837354,0.17192330595482502,
349.85751770448303,0.16739993839835698,
349.887133182844,0.162876570841889,
349.906879620746,0.158353203285421,
349.936503457034,0.153829835728953,
