wl,reference,5,10,15,30,50,70,p3ht
433.23,,0.9994,1.071,0.9989,0.8284,0.8378,0.8567,
433.235,,,,,,,,0.8016800000000001
433.881,0.5259,,,,,,,
434.08587,,,,,,,,0.7854
434.09,,0.9923,1.053,0.9767,0.8154,0.8322,0.8489,
434.799,0.5139,,,,,,,
434.93674,,,,,,,,0.8650700000000001
434.94,,0.988,1.037,0.9574,0.8057,0.8258,0.8413,
435.716,0.5029,,,,,,,
435.78761,,,,,,,,0.93151
435.79,,0.9759,1.017,0.9362,0.8,0.8216,0.8335,
436.634,0.4926,,,,,,,
436.63848,,,,,,,,0.94474
436.64,,0.9627,0.9985,0.921,0.7955,0.8212,0.8301,
437.48935,,,,,,,,0.95741
437.49,,0.9506,0.984,0.9146,0.7949,0.8235,0.8345,
437.552,0.4823,,,,,,,
438.34,,0.9368,0.9691,0.9105,0.7975,0.8271,0.841,
438.34023,,,,,,,,0.90983
438.47,0.4727,,,,,,,
439.19,,0.9271,0.9517,0.9063,0.7987,0.8266,0.8441,
439.1911,,,,,,,,0.87195
439.387,0.4639,,,,,,,
440.04,,0.9206,0.9346,0.8968,0.7985,0.8239,0.8456,
440.04197,,,,,,,,0.87436
440.305,0.4564,,,,,,,
440.89,,0.9097,0.9228,0.8829,0.7984,0.8255,0.8484,
440.89284,,,,,,,,0.90567
441.223,0.4508,,,,,,,
441.74,,0.8936,0.9117,0.8691,0.7961,0.8276,0.8472,
441.74371,,,,,,,,0.94597
442.14,0.4457,,,,,,,
442.59,,0.8797,0.8986,0.8578,0.7927,0.8271,0.8426,
442.59458,,,,,,,,0.93377
443.058,0.4409,,,,,,,
443.44546,,,,,,,,0.88734
443.45,,0.8696,0.8846,0.8461,0.79,0.8242,0.8369,
443.976,0.4356,,,,,,,
444.29633,,,,,,,,0.88674
444.3,,0.8608,0.8725,0.8368,0.7885,0.8223,0.831,
444.893,0.4305,,,,,,,
445.1472,,,,,,,,0.88623
445.15,,0.8548,0.8634,0.8306,0.7865,0.8238,0.8286,
445.811,0.4259,,,,,,,
445.99807,,,,,,,,0.8705700000000001
446.0,,0.8499,0.8586,0.8241,0.7852,0.8275,0.8306,
446.729,0.4226,,,,,,,
446.84894,,,,,,,,0.8814700000000001
446.85,,0.8465,0.8565,0.8185,0.7859,0.8313,0.8337,
447.647,0.4204,,,,,,,
447.69981,,,,,,,,0.89931
447.7,,0.8457,0.857,0.8179,0.788,0.8335,0.8393,
448.55,,0.8421,0.8601,0.8194,0.7912,0.8355,0.8451,
448.55069,,,,,,,,0.92538
448.564,0.4185,,,,,,,
449.4,,0.8374,0.8641,0.8194,0.7956,0.8399,0.8491,
449.40156,,,,,,,,0.94313
449.482,0.4175,,,,,,,
450.25,,0.8331,0.8676,0.8187,0.7997,0.8449,0.8515,
450.25243,,,,,,,,0.94868
450.4,0.417,,,,,,,
451.1,,0.8325,0.8677,0.8203,0.8026,0.8469,0.8513,
451.1033,,,,,,,,0.92881
451.317,0.4166,,,,,,,
451.95,,0.8367,0.8642,0.8235,0.8048,0.8465,0.8502,
451.95417,,,,,,,,0.8937700000000001
452.235,0.4161,,,,,,,
452.80504,,,,,,,,0.8849100000000001
452.81,,0.8422,0.86,0.8281,0.8054,0.8463,0.8505,
453.153,0.4155,,,,,,,
453.65592,,,,,,,,0.91729
453.66,,0.846,0.8566,0.8333,0.8058,0.8493,0.8539,
454.071,0.4151,,,,,,,
454.50679,,,,,,,,0.95177
454.51,,0.8476,0.8558,0.8367,0.8085,0.8554,0.8589,
454.988,0.4157,,,,,,,
455.35766,,,,,,,,0.95436
455.36,,0.8501,0.8571,0.8395,0.8135,0.8615,0.8641,
455.906,0.417,,,,,,,
456.20853,,,,,,,,0.93356
