wavenumber,e,d,f,g,h,i,j,l,m,n,a,c,b,o
3702.96,0.04285,0.8733,0.1311,0.7621,0.4989,0.1668,0.03844,-0.00913,-0.00417,0.01453,1.037,0.3249,1.087,-0.01064
3703.924,0.04305,0.8733,0.1316,0.7624,0.4993,0.1672,0.03855,-0.009098,-0.004149,0.01465,1.036,0.3254,1.087,-0.01051
3704.888,0.04289,0.8727,0.1324,0.7625,0.5002,0.1676,0.0385,-0.009153,-0.00416,0.01466,1.035,0.3263,1.087,-0.01042
3705.852,0.04239,0.8713,0.1332,0.7624,0.5013,0.1678,0.03825,-0.0093,-0.004216,0.01456,1.035,0.3273,1.087,-0.01044
3706.817,0.04157,0.8693,0.1337,0.7619,0.5023,0.1676,0.03784,-0.00952,-0.00432,0.01433,1.035,0.328,1.086,-0.01059
3707.781,0.04057,0.8673,0.1335,0.7614,0.5026,0.1671,0.03732,-0.009765,-0.004464,0.01401,1.035,0.3279,1.086,-0.01087
3708.745,0.0396,0.8662,0.1326,0.7609,0.502,0.1663,0.03679,-0.009953,-0.004619,0.01369,1.036,0.3269,1.085,-0.01123
3709.709,0.03901,0.8664,0.1311,0.7607,0.5004,0.1654,0.03643,-0.009985,-0.004727,0.01349,1.038,0.3251,1.085,-0.01154
3710.674,0.03911,0.8679,0.1295,0.7611,0.4984,0.1647,0.03639,-0.009809,-0.004729,0.01354,1.039,0.3229,1.085,-0.01166
3711.638,0.03991,0.8698,0.1286,0.7621,0.497,0.1645,0.0367,-0.009477,-0.004611,0.01383,1.04,0.3214,1.086,-0.01153
3712.602,0.04103,0.8713,0.1287,0.7633,0.4968,0.1649,0.03721,-0.009118,-0.004425,0.01422,1.041,0.321,1.086,-0.01122
3713.566,0.04204,0.8722,0.1295,0.7644,0.4978,0.1657,0.03774,-0.008844,-0.004244,0.01457,1.042,0.3216,1.087,-0.01087
3714.531,0.0427,0.8723,0.1308,0.7652,0.4995,0.1664,0.03814,-0.008695,-0.004118,0.0148,1.042,0.3229,1.087,-0.01056
3715.495,0.04297,0.8721,0.132,0.7657,0.5013,0.167,0.03839,-0.008665,-0.004057,0.01489,1.043,0.3243,1.086,-0.01035
3716.459,0.04291,0.8716,0.1329,0.766,0.5029,0.1673,0.03848,-0.008732,-0.004052,0.01488,1.044,0.3255,1.086,-0.01023
3717.423,0.04262,0.8713,0.1334,0.766,0.5039,0.1674,0.03842,-0.008874,-0.004086,0.0148,1.044,0.3262,1.086,-0.01019
3718.387,0.04221,0.8713,0.1334,0.7658,0.5044,0.1673,0.03824,-0.009067,-0.004148,0.01467,1.044,0.3264,1.086,-0.01024
3719.352,0.04178,0.8715,0.133,0.7654,0.5045,0.167,0.038,-0.009277,-0.00424,0.01453,1.044,0.3262,1.086,-0.01036
3720.316,0.04141,0.8718,0.1325,0.765,0.5044,0.1668,0.03773,-0.009456,-0.004367,0.01438,1.043,0.3256,1.087,-0.01053
3721.28,0.04117,0.8721,0.132,0.7648,0.5042,0.1665,0.03749,-0.009559,-0.004532,0.01422,1.043,0.325,1.087,-0.01073
3722.244,0.04112,0.8725,0.1318,0.7651,0.5041,0.1662,0.03732,-0.009553,-0.004712,0.01408,1.042,0.3244,1.088,-0.01091
3723.209,0.04129,0.8732,0.1316,0.7659,0.504,0.1659,0.03726,-0.009435,-0.004861,0.01399,1.042,0.3238,1.088,-0.01102
3724.173,0.04168,0.8741,0.1316,0.7672,0.5036,0.1658,0.03732,-0.009236,-0.004931,0.014,1.043,0.3233,1.089,-0.01103
3725.137,0.04222,0.875,0.1316,0.7686,0.5032,0.166,0.03749,-0.009016,-0.004901,0.01411,1.044,0.323,1.089,-0.01097
3726.101,0.04275,0.8758,0.1317,0.7696,0.503,0.1663,0.03772,-0.008839,-0.004797,0.0143,1.045,0.3231,1.09,-0.01086
3727.066,0.04309,0.8763,0.1321,0.77,0.5032,0.1668,0.03794,-0.008752,-0.004675,0.0145,1.045,0.3235,1.09,-0.01075
3728.03,0.04313,0.8762,0.1326,0.7699,0.5039,0.1672,0.03809,-0.008776,-0.004587,0.01461,1.045,0.3243,1.09,-0.01066
3728.994,0.04286,0.8755,0.1332,0.7694,0.5049,0.1674,0.03813,-0.008915,-0.004556,0.01456,1.045,0.3252,1.09,-0.01062
3729.958,0.04234,0.8742,0.1335,0.7688,0.506,0.1672,0.03803,-0.009162,-0.004585,0.01434,1.044,0.326,1.089,-0.01062
3730.923,0.04169,0.8727,0.1336,0.7684,0.5067,0.1667,0.03776,-0.0095,-0.004665,0.01396,1.042,0.3263,1.089,-0.0107
3731.887,0.0411,0.8715,0.1331,0.7682,0.5067,0.166,0.03735,-0.009882,-0.004788,0.01349,1.04,0.3259,1.09,-0.01087
3732.851,0.04077,0.8713,0.1319,0.7684,0.5056,0.1651,0.03687,-0.01021,-0.004932,0.01309,1.039,0.3244,1.092,-0.0111
3733.815,0.04089,0.8725,0.1303,0.7691,0.5032,0.1645,0.03649,-0.01033,-0.005041,0.01294,1.038,0.322,1.095,-0.0113
3734.779,0.04146,0.8745,0.1287,0.7701,0.5003,0.1642,0.03641,-0.01015,-0.005031,0.01313,1.04,0.3194,1.098,-0.01136
3735.744,0.04226,0.8767,0.1277,0.7713,0.4981,0.1645,0.0367,-0.009721,-0.004848,0.0136,1.041,0.3178,1.1,-0.01119
3736.708,0.04294,0.8783,0.1279,0.7723,0.4977,0.1653,0.03724,-0.009227,-0.004526,0.01413,1.043,0.3179,1.1,-0.01087
3737.672,0.04326,0.8793,0.1291,0.7727,0.4991,0.1662,0.0378,-0.008862,-0.004167,0.01452,1.043,0.3193,1.099,-0.01055
3738.636,0.04319,0.8796,0.1308,0.7726,0.5019,0.1671,0.03821,-0.00871,-0.003867,0.0147,1.044,0.3216,1.097,-0.01035
3739.601,0.04281,0.8794,0.1326,0.7721,0.505,0.1676,0.03841,-0.008758,-0.003681,0.01467,1.044,0.324,1.095,-0.01034
3740.565,0.04226,0.8789,0.134,0.7714,0.5077,0.1676,0.0384,-0.008951,-0.003634,0.01447,1.044,0.3256,1.094,-0.01051
3741.529,0.04169,0.8785,0.1346,0.7706,0.509,0.1671,0.0382,-0.009213,-0.003727,0.01415,1.045,0.326,1.094,-0.01081
3742.493,0.04133,0.8787,0.1342,0.7702,0.5085,0.1662,0.03788,-0.009448,-0.00394,0.01383,1.046,0.3249,1.094,-0.01115
3743.458,0.04132,0.8792,0.1329,0.7703,0.5063,0.1653,0.03751,-0.009565,-0.00421,0.01364,1.047,0.3227,1.095,-0.0114
3744.422,0.04159,0.8797,0.1315,0.771,0.5039,0.1649,0.0372,-0.009542,-0.004446,0.01366,1.046,0.3208,1.095,-0.01146
3745.386,0.04187,0.88,0.1309,0.7721,0.5029,0.1652,0.03696,-0.009461,-0.004584,0.01383,1.045,0.3202,1.096,-0.01136
3746.35,0.04189,0.8799,0.1313,0.7731,0.5035,0.1659,0.03675,-0.00944,-0.004625,0.01395,1.043,0.3212,1.097,-0.01122
3747.314,0.04157,0.8798,0.132,0.7738,0.5049,0.1663,0.03652,-0.009538,-0.004608,0.0139,1.042,0.3225,1.098,-0.01117
3748.279,0.04109,0.8799,0.1324,0.7744,0.5056,0.1662,0.03626,-0.009731,-0.004554,0.01364,1.043,0.323,1.099,-0.01121
3749.243,0.04071,0.8804,0.1319,0.775,0.5048,0.1655,0.03606,-0.009928,-0.004468,0.01329,1.044,0.3219,1.099,-0.01127
