,sigma,Material,Seebeck,Family,power factor
862,36.37970629506164,PEDOT,20.093317376193884,polythiophene,1.4687993666861021
863,151.83931932691846,PEDOT,11.293620634681847,polythiophene,1.9366477634332193
864,1.0110514810203155,PEDOT,81.9772698904967,polythiophene,0.6794541745764475
865,2.134792206201006,PEDOT,45.75313615266284,polythiophene,0.4468866128723224
866,2.382803917778109,PEDOT,43.0137286350564,polythiophene,0.4408618180575934
867,3.034591511526812,PEDOT,43.61083742832032,polythiophene,0.5771505197212856
868,4.607703095454776,PEDOT,39.07954193140011,polythiophene,0.7036932997825686
869,9.517443041488631,PEDOT,33.15069917716743,polythiophene,1.045937349073176
870,11.100589993819918,PEDOT,29.90886290632257,polythiophene,0.9929922664995177
871,22.928828269624574,PEDOT,30.32769503022834,polythiophene,2.108922741708483
872,0.0941341090948601,PEDOT,63.993346990796816,polythiophene,0.038549315180711086
873,35.58874301961364,PEDOT,14.159155466410878,polythiophene,0.7134891115003722
874,230.55178893662008,PEDOT,12.264384556551263,polythiophene,3.4678476970558534
875,251.74140628621024,PEDOT,12.868254040764734,polythiophene,4.168635339808756
876,300.1421360329165,PEDOT,13.97352920540877,polythiophene,5.860560894966585
877,257.33638352865705,PEDOT,23.865928273426093,polythiophene,14.657430899664005
878,342.4571241218303,PEDOT,22.748081494195493,polythiophene,17.72130727916654
879,426.6498517332767,PEDOT,21.682237944250453,polythiophene,20.057639034189304
880,881.2667783513625,PEDOT,17.291063301086208,polythiophene,26.348190816600145
881,941.3410909486016,PEDOT,15.177383979501233,polythiophene,21.684072969599175
882,1780.7241914678484,PEDOT,19.702869121853418,polythiophene,69.12825652443203
883,1820.3009598402705,PEDOT,17.7755257483782,polythiophene,57.51592485236494
884,1902.1128383062376,PEDOT,16.59666920162121,polythiophene,52.3935894421432
