,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi,,ip,,oop,,ip,,oop
,PFO doped,,PFO doped,,PFO doped,,PFO undoped,,PFO undoped,,PFO undoped,,PFO doped,,PFO doped,,PFO doped,,PFO undoped,,PFO undoped,,PFO undoped,,back,,back,,back,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped
0.65813196,4.306369,0.65813196,8.206444,0.65813196,6.37352,0.65813196,2.106786,0.65813196,5.620601,0.65813196,4.427316,0.65813196,3.996887,0.65813196,7.069191,0.65813196,5.789549,0.65813196,1.71766,0.65813196,5.488376,0.65813196,3.855753,0.65813196,16.696938,0.65813196,17.086302,0.65813196,17.261988,0.65813196,13.6413744,0.65813196,25.8600356,0.65813196,9.6345484,0.65813196,18.9431536
0.67838216,5.011377,0.67838216,8.42643700000001,0.67838216,6.755848,0.67838216,2.510158,0.67838216,5.892601,0.67838216,4.650539,0.67838216,4.316419,0.67838216,7.074207,0.67838216,5.864048,0.67838216,2.497852,0.67838216,6.169674,0.67838216,4.332518,0.67838216,16.139668,0.67838216,17.054951,0.67838216,17.135334,0.67838216,13.6411344,0.67838216,26.3589148,0.67838216,10.0030574,0.67838216,20.0712288
0.69863242,4.97723,0.69863242,8.81089,0.69863242,6.871912,0.69863242,2.932049,0.69863242,6.12248,0.69863242,4.691942,0.69863242,4.118942,0.69863242,7.383516,0.69863242,5.982693,0.69863242,2.523914,0.69863242,6.144972,0.69863242,4.339821,0.69863242,16.248911,0.69863242,17.569712,0.69863242,17.507063,0.69863242,13.7150478,0.69863242,27.3425536,0.69863242,9.69709980000001,0.69863242,20.4176156
0.71888262,4.767511,0.71888262,8.943916,0.71888262,6.740358,0.71888262,3.035715,0.71888262,5.938471,0.71888262,4.584367,0.71888262,3.905809,0.71888262,7.82118,0.71888262,6.128744,0.71888262,2.667402,0.71888262,5.89389,0.71888262,4.391023,0.71888262,16.458563,0.71888262,18.013214,0.71888262,17.824446,0.71888262,13.7049704,0.71888262,28.5554312,0.71888262,10.0550914,0.71888262,20.3449552
0.73913282,5.329218,0.73913282,9.117611,0.73913282,7.075972,0.73913282,2.935005,0.73913282,5.861635,0.73913282,4.449116,0.73913282,4.217423,0.73913282,7.629309,0.73913282,6.128289,0.73913282,2.77886,0.73913282,5.790459,0.73913282,4.524527,0.73913282,16.598728,0.73913282,18.355095,0.73913282,17.965322,0.73913282,13.9071714,0.73913282,29.059751,0.73913282,10.2633254,0.73913282,20.012647
0.75938302,4.686165,0.75938302,9.092998,0.75938302,7.037121,0.75938302,2.139405,0.75938302,6.021175,0.75938302,4.37962,0.75938302,3.526072,0.75938302,7.984014,0.75938302,6.13578,0.75938302,2.405371,0.75938302,6.223802,0.75938302,4.487461,0.75938302,17.385305,0.75938302,18.323727,0.75938302,18.166727,0.75938302,13.465118,0.75938302,28.9971656,0.75938302,9.368129,0.75938302,20.6986196
0.77963322,4.536571,0.77963322,9.562134,0.77963322,7.213289,0.77963322,2.459825,0.77963322,7.071194,0.77963322,5.16828500000001,0.77963322,3.295219,0.77963322,9.231371,0.77963322,6.477013,0.77963322,2.371507,0.77963322,6.964894,0.77963322,4.72131900000001,0.77963322,17.499392,0.77963322,17.918184,0.77963322,18.096281,0.77963322,13.8010456,0.77963322,30.1910042,0.77963322,9.4260686,0.77963322,22.2232882
0.79988348,4.535999,0.79988348,10.365085,0.79988348,7.650915,0.79988348,3.084421,0.79988348,7.614666,0.79988348,5.77317400000001,0.79988348,3.887867,0.79988348,9.761207,0.79988348,6.786054,0.79988348,2.53779,0.79988348,7.417923,0.79988348,5.043674,0.79988348,17.281704,0.79988348,17.818024,0.79988348,18.059664,0.79988348,14.2078702,0.79988348,32.2872712,0.79988348,9.9496112,0.79988348,23.6901222
0.82013369,4.235975,0.82013369,11.463395,0.82013369,8.016484,0.82013369,3.271932,0.82013369,7.98471500000001,0.82013369,5.914309,0.82013369,4.172722,0.82013369,10.022183,0.82013369,6.925164,0.82013369,2.698356,0.82013369,7.569109,0.82013369,5.108153,0.82013369,17.303734,0.82013369,17.626575,0.82013369,18.246923,0.82013369,15.2867922,0.82013369,34.720882,0.82013369,10.0948232,0.82013369,25.137253
0.84038389,4.073668,0.84038389,12.369793,0.84038389,8.18678100000001,0.84038389,3.043976,0.84038389,8.389568,0.84038389,5.756861,0.84038389,4.494751,0.84038389,10.413372,0.84038389,7.13964500000001,0.84038389,2.537729,0.84038389,7.622844,0.84038389,5.038332,0.84038389,17.621685,0.84038389,17.783028,0.84038389,18.672014,0.84038389,15.631993,0.84038389,36.1786424,0.84038389,9.794444,0.84038389,26.0687564
0.86063409,4.747272,0.86063409,13.280638,0.86063409,8.732694,0.86063409,2.957235,0.86063409,9.225452,0.86063409,6.051744,0.86063409,4.534317,0.86063409,10.944483,0.86063409,7.540264,0.86063409,2.639898,0.86063409,7.935707,0.86063409,5.257759,0.86063409,17.597813,0.86063409,17.973322,0.86063409,18.811295,0.86063409,15.0456724,0.86063409,37.4502246,0.86063409,9.9366064,0.86063409,26.9317426
0.88088435,5.29682,0.88088435,13.233787,0.88088435,9.239069,0.88088435,3.187439,0.88088435,9.337232,0.88088435,6.320537,0.88088435,4.333981,0.88088435,11.31682,0.88088435,7.96344,0.88088435,2.902624,0.88088435,8.295313,0.88088435,5.591285,0.88088435,17.312721,0.88088435,18.315781,0.88088435,18.680651,0.88088435,15.1173588,0.88088435,38.5831088,0.88088435,11.0254798,0.88088435,27.4803218
0.90113455,4.807468,0.90113455,12.315939,0.90113455,9.16537300000001,0.90113455,3.391933,0.90113455,8.918206,0.90113455,6.412649,0.90113455,3.942911,0.90113455,11.557364,0.90113455,8.04072000000001,0.90113455,3.092475,0.90113455,8.206669,0.90113455,5.744116,0.90113455,17.404799,0.90113455,18.968948,0.90113455,18.793455,0.90113455,15.5287802,0.90113455,38.7796434,0.90113455,11.2056752,0.90113455,27.0969234
0.92138475,4.340105,0.92138475,12.255454,0.92138475,8.867343,0.92138475,3.323151,0.92138475,8.951592,0.92138475,6.341877,0.92138475,4.05592,0.92138475,11.85952,0.92138475,8.033149,0.92138475,2.705265,0.92138475,8.048581,0.92138475,5.649379,0.92138475,17.563629,0.92138475,19.589828,0.92138475,19.258408,0.92138475,15.8506092,0.92138475,39.0576474,0.92138475,11.6800122,0.92138475,27.4307744
0.94163495,4.490697,0.94163495,12.906275,0.94163495,8.903158,0.94163495,3.266725,0.94163495,9.60957,0.94163495,6.42684,0.94163495,4.022977,0.94163495,12.318611,0.94163495,8.153281,0.94163495,2.945722,0.94163495,8.563978,0.94163495,6.010521,0.94163495,17.588963,0.94163495,19.558794,0.94163495,19.529165,0.94163495,16.0845054,0.94163495,40.4512192,0.94163495,11.9372694,0.94163495,28.7470642
0.96188515,4.87370300000001,0.96188515,13.797319,0.96188515,9.489203,0.96188515,2.816078,0.96188515,10.479456,0.96188515,6.7211,0.96188515,4.12701200000001,0.96188515,13.070585,0.96188515,8.474686,0.96188515,2.941535,0.96188515,9.374485,0.96188515,6.388025,0.96188515,17.776875,0.96188515,19.11566,0.96188515,19.477312,0.96188515,16.361624,0.96188515,42.164678,0.96188515,11.953265,0.96188515,30.248182
0.98213542,5.074501,0.98213542,13.875537,0.98213542,9.788391,0.98213542,2.867128,0.98213542,10.740499,0.98213542,6.998491,0.98213542,4.311206,0.98213542,13.020492,0.98213542,8.750851,0.98213542,2.808057,0.98213542,9.800779,0.98213542,6.529119,0.98213542,17.842049,0.98213542,19.434998,0.98213542,19.58181,0.98213542,16.3135932,0.98213542,43.4289404,0.98213542,11.4832252,0.98213542,31.0109724
1.0023856,4.51783,1.0023856,13.758785,1.0023856,9.705889,1.0023856,2.751387,1.0023856,10.610212,1.0023856,7.07647,1.0023856,4.349388,1.0023856,12.633712,1.0023856,8.859827,1.0023856,2.298477,1.0023856,9.869747,1.0023856,6.502634,1.0023856,18.125549,1.0023856,20.008572,1.0023856,19.958677,1.0023856,15.7807822,1.0023856,45.0427226,1.0023856,11.0168392,1.0023856,31.6551186
