,,,ip,oop,complete
2.8640301,2.8640301,1.2549534,11.9360602,14971.91224,1123.42874
2.9165812,2.9165812,1.2779801,12.1703782,15946.78704,1201.97114
2.9691322,2.9691322,1.3010067,12.6257026,15470.41184,1201.41318
3.0216832,3.0216832,1.3240334,13.2079466,15184.6358,1187.94242
3.0742342,3.0742342,1.3470601,13.0742986,15780.49464,1202.24496
3.1267853,3.1267853,1.3700867,13.0262316,16696.09686,1225.9171
3.1793363,3.1793363,1.3931134,13.5644214,16795.909,1197.31234
3.2318873,3.2318873,1.4161401,13.7338532,14928.48184,1061.9414
3.2844384,3.2844384,1.4391667,14.4282474,11199.91522,849.23636
3.3369894,3.3369894,1.4621934,19.097457,7034.01522,621.1412
3.3895402,3.3895402,1.4852201,31.485356,3636.98974,439.48272
3.4420912,3.4420912,1.5082468,46.73405,1639.23916,333.38186
3.4946423,3.4946423,1.5312734,56.314186,785.22,289.20082
3.5471933,3.5471933,1.5543001,64.819616,590.43748,273.19714
3.5997443,3.5997443,1.5773268,75.26352,580.74086,269.94266
3.6522954,3.6522954,1.6003534,81.249148,564.60226,263.75392
3.7048464,3.7048464,1.6233801,88.31453,487.6938,254.92358
3.7573974,3.7573974,1.6464068,96.97476,393.57382,247.04507
3.8099484,3.8099484,1.6694334,103.76049,343.80996,241.27222
3.8624995,3.8624995,1.6924601,110.84864,333.29334,237.5031
3.9150505,3.9150505,1.7154868,117.63855,326.31124,233.91965
3.9676015,3.9676015,1.7385134,125.68779,309.63178,229.09332
4.0201526,4.0201526,1.7615401,130.73972,299.50128,226.93965
4.0727034,4.0727034,1.7845668,130.31619,290.44228,222.59291
4.1252546,4.1252546,1.8075933,138.29579,281.44918,221.48932
4.1778054,4.1778054,1.8306201,151.47336,285.605,215.81817
4.2303567,4.2303567,1.8536468,158.94742,280.51092,214.25833
4.2829075,4.2829075,1.8766735,161.91712,270.02479,211.05245
4.3354588,4.3354588,1.8997,164.96599,273.66034,208.81829
4.3880095,4.3880095,1.9227268,167.58277,267.55915,206.11264
4.4405603,4.4405603,1.9457535,170.80522,259.05262,204.62507
4.4931116,4.4931116,1.96878,173.21695,262.82334,202.30957
4.5456624,4.5456624,1.9918067,177.46346,260.73237,199.51649
4.5982137,4.5982137,2.0148335,182.93025,252.97498,197.68633
4.6507645,4.6507645,2.0378602,189.86262,245.23802,194.61313
