,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi
,P3HT doped,,P3HT doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,P3HT doped,,P3HT doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,back,,back,,back
0.59738129,5.047456,0.59738129,7.939699,0.59738129,6.820323,0.59738129,4.233753,0.59738129,5.687885,0.59738129,4.985616,0.59738129,8.312141,0.59738129,13.278711,0.59738129,10.795448,0.59738129,3.855575,0.59738129,5.316519,0.59738129,4.444507,0.59738129,16.184933,0.59738129,17.389414,0.59738129,17.16153
0.61763155,5.764352,0.61763155,8.697039,0.61763155,7.322762,0.61763155,4.694116,0.61763155,5.789453,0.61763155,5.198153,0.61763155,8.570137,0.61763155,13.53515,0.61763155,11.020914,0.61763155,4.177129,0.61763155,5.275526,0.61763155,4.768847,0.61763155,15.993731,0.61763155,17.550913,0.61763155,17.117954
0.63788176,5.166897,0.63788176,9.135154,0.63788176,7.511,0.63788176,4.024378,0.63788176,6.799953,0.63788176,5.533915,0.63788176,7.411156,0.63788176,13.759025,0.63788176,10.950318,0.63788176,3.167561,0.63788176,5.770126,0.63788176,4.690962,0.63788176,16.764896,0.63788176,17.291224,0.63788176,17.283754
0.65813196,5.005327,0.65813196,9.295219,0.65813196,7.56208,0.65813196,3.757951,0.65813196,7.517864,0.65813196,5.926485,0.65813196,6.885461,0.65813196,13.929626,0.65813196,10.945499,0.65813196,3.117597,0.65813196,5.960733,0.65813196,4.802271,0.65813196,16.696938,0.65813196,17.086302,0.65813196,17.261988
0.67838216,5.553112,0.67838216,9.680162,0.67838216,7.821539,0.67838216,4.15693,0.67838216,7.731315,0.67838216,6.348953,0.67838216,7.546815,0.67838216,14.869148,0.67838216,11.462576,0.67838216,4.261341,0.67838216,6.155405,0.67838216,5.257986,0.67838216,16.139668,0.67838216,17.054951,0.67838216,17.135334
0.69863242,5.580721,0.69863242,9.602945,0.69863242,7.790249,0.69863242,4.025936,0.69863242,7.016069,0.69863242,6.015531,0.69863242,8.124338,0.69863242,15.446634,0.69863242,11.962006,0.69863242,4.513313,0.69863242,5.948452,0.69863242,5.32774,0.69863242,16.248911,0.69863242,17.569712,0.69863242,17.507063
0.71888262,5.297569,0.71888262,9.592545,0.71888262,7.768062,0.71888262,3.69939,0.71888262,7.068886,0.71888262,5.865326,0.71888262,8.516907,0.71888262,15.874241,0.71888262,12.299465,0.71888262,4.044908,0.71888262,5.927887,0.71888262,5.264414,0.71888262,16.458563,0.71888262,18.013214,0.71888262,17.824446
0.73913282,5.658053,0.73913282,9.497127,0.73913282,7.963641,0.73913282,4.089865,0.73913282,7.352606,0.73913282,6.146248,0.73913282,8.680819,0.73913282,15.871342,0.73913282,12.44102,0.73913282,3.729983,0.73913282,5.71949,0.73913282,5.300005,0.73913282,16.598728,0.73913282,18.355095,0.73913282,17.965322
0.75938302,5.046585,0.75938302,9.931234,0.75938302,8.095135,0.75938302,3.821503,0.75938302,7.831192,0.75938302,6.324045,0.75938302,8.388407,0.75938302,16.059932,0.75938302,12.634539,0.75938302,3.072281,0.75938302,6.131258,0.75938302,5.301006,0.75938302,17.385305,0.75938302,18.323727,0.75938302,18.166727
0.77963322,4.82121,0.77963322,10.769934,0.77963322,8.36140800000001,0.77963322,3.895067,0.77963322,8.588204,0.77963322,6.593628,0.77963322,8.417045,0.77963322,17.132971,0.77963322,13.202398,0.77963322,2.926656,0.77963322,7.222252,0.77963322,5.512077,0.77963322,17.499392,0.77963322,17.918184,0.77963322,18.096281
0.79988348,5.421989,0.79988348,11.663915,0.79988348,8.783788,0.79988348,4.051815,0.79988348,9.242075,0.79988348,6.905765,0.79988348,8.661755,0.79988348,18.166473,0.79988348,13.736677,0.79988348,3.363329,0.79988348,8.271579,0.79988348,5.926674,0.79988348,17.281704,0.79988348,17.818024,0.79988348,18.059664
0.82013369,5.959312,0.82013369,13.069502,0.82013369,9.440541,0.82013369,4.001159,0.82013369,9.991589,0.82013369,7.055094,0.82013369,9.176266,0.82013369,19.208024,0.82013369,14.119627,0.82013369,3.863909,0.82013369,8.894606,0.82013369,6.089591,0.82013369,17.303734,0.82013369,17.626575,0.82013369,18.246923
0.84038389,6.31114,0.84038389,13.892788,0.84038389,9.87138600000001,0.84038389,4.095017,0.84038389,10.521984,0.84038389,7.056929,0.84038389,9.033941,0.84038389,19.759674,0.84038389,14.423243,0.84038389,3.488709,0.84038389,9.090568,0.84038389,6.067538,0.84038389,17.621685,0.84038389,17.783028,0.84038389,18.672014
0.86063409,6.30094700000001,0.86063409,13.882852,0.86063409,10.098011,0.86063409,4.105648,0.86063409,11.04776,0.86063409,7.390438,0.86063409,8.93348800000001,0.86063409,20.272211,0.86063409,15.024169,0.86063409,3.575946,0.86063409,9.12932000000001,0.86063409,6.401216,0.86063409,17.597813,0.86063409,17.973322,0.86063409,18.811295
0.88088435,6.306957,0.88088435,13.90163,0.88088435,10.455257,0.88088435,4.537586,0.88088435,11.061319,0.88088435,7.91947300000001,0.88088435,9.183077,0.88088435,20.479957,0.88088435,15.632887,0.88088435,3.709728,0.88088435,9.235233,0.88088435,6.859499,0.88088435,17.312721,0.88088435,18.315781,0.88088435,18.680651
0.90113455,6.01662,0.90113455,14.216618,0.90113455,10.699844,0.90113455,4.389669,0.90113455,10.866078,0.90113455,8.197701,0.90113455,9.046739,0.90113455,20.779053,0.90113455,16.036028,0.90113455,3.470926,0.90113455,8.845044,0.90113455,6.93079,0.90113455,17.404799,0.90113455,18.968948,0.90113455,18.793455
0.92138475,5.78517,0.92138475,14.381161,0.92138475,10.520107,0.92138475,4.394108,0.92138475,10.715567,0.92138475,8.174554,0.92138475,8.984148,0.92138475,21.100651,0.92138475,16.036048,0.92138475,3.409697,0.92138475,8.86998,0.92138475,6.815942,0.92138475,17.563629,0.92138475,19.589828,0.92138475,19.258408
0.94163495,6.10289,0.94163495,14.755461,0.94163495,10.575533,0.94163495,4.675727,0.94163495,11.205917,0.94163495,8.31856,0.94163495,9.265241,0.94163495,21.742353,0.94163495,16.077776,0.94163495,4.006609,0.94163495,9.508436,0.94163495,6.992903,0.94163495,17.588963,0.94163495,19.558794,0.94163495,19.529165
0.96188515,5.950283,0.96188515,15.452162,0.96188515,11.101296,0.96188515,4.58161100000001,0.96188515,12.397621,0.96188515,8.943266,0.96188515,9.52464200000001,0.96188515,22.646845,0.96188515,16.663153,0.96188515,4.14983300000001,0.96188515,10.194267,0.96188515,7.284176,0.96188515,17.776875,0.96188515,19.11566,0.96188515,19.477312
0.98213542,6.004369,0.98213542,15.551155,0.98213542,11.552113,0.98213542,5.050844,0.98213542,13.184112,0.98213542,9.439335,0.98213542,9.629974,0.98213542,23.489303,0.98213542,16.925999,0.98213542,4.259866,0.98213542,10.325496,0.98213542,7.48096700000001,0.98213542,17.842049,0.98213542,19.434998,0.98213542,19.58181
1.0023856,5.492428,1.0023856,15.988193,1.0023856,11.522772,1.0023856,4.663018,1.0023856,13.224113,1.0023856,9.196595,1.0023856,9.357025,1.0023856,24.215343,1.0023856,17.025862,1.0023856,3.732378,1.0023856,10.573333,1.0023856,7.458346,1.0023856,18.125549,1.0023856,20.008572,1.0023856,19.958677
1.0226358,5.390793,1.0226358,16.700277,1.0226358,11.726688,1.0226358,4.088049,1.0226358,13.295519,1.0226358,9.178988,1.0226358,9.181053,1.0226358,24.770189,1.0226358,17.379795,1.0226358,3.539234,1.0226358,11.324598,1.0226358,7.749983,1.0226358,18.359169,1.0226358,19.996149,1.0226358,20.20335
1.042886,5.529541,1.042886,17.95797,1.042886,12.138806,1.042886,3.857079,1.042886,14.248581,1.042886,9.693119,1.042886,9.096384,1.042886,25.530823,1.042886,17.667359,1.042886,3.167585,1.042886,12.242478,1.042886,8.13988100000001,1.042886,19.026226,1.042886,19.546028,1.042886,20.48011
1.0631362,5.712784,1.0631362,18.157606,1.0631362,12.397247,1.0631362,3.869042,1.0631362,15.125655,1.0631362,10.070942,1.0631362,9.31718700000001,1.0631362,25.993296,1.0631362,18.179203,1.0631362,3.233328,1.0631362,12.481863,1.0631362,8.40002600000001,1.0631362,19.320499,1.0631362,19.652353,1.0631362,20.703148
1.0833864,6.015087,1.0833864,17.799942,1.0833864,12.609138,1.0833864,4.162203,1.0833864,15.47596,1.0833864,10.473701,1.0833864,9.393425,1.0833864,26.516853,1.0833864,18.556354,1.0833864,3.666508,1.0833864,12.545975,1.0833864,8.596607,1.0833864,19.038685,1.0833864,20.272545,1.0833864,20.773327
