xc,xoop,xip,ip,oop,complete
20.941578,20.941578,9.1761274,72.53712,44.868212,37.690702
20.994129,20.994129,9.1991539,71.66752,43.725926,37.712328
21.04668,21.04668,9.2221804,70.76124,44.586098,37.948696
21.099232,21.099232,9.2452068,71.3719,45.448462,37.670598
21.151783,21.151783,9.2682333,72.4389100000001,43.694258,37.7207
21.204334,21.204334,9.2912607,72.66579,45.074192,37.246334
21.256884,21.256884,9.3142872,70.8655000000001,45.422654,37.41328
21.309435,21.309435,9.3373137,68.89711,43.475624,37.50857
21.361986,21.361986,9.3603401,69.59114,43.341778,37.208024
21.414537,21.414537,9.3833666,70.50682,43.178978,36.976144
21.467089,21.467089,9.406394,68.8288,42.991756,37.088026
21.51964,21.51964,9.4294205,69.26896,44.589716,37.233098
21.572191,21.572191,9.4524469,67.97748,41.963762,36.660542
21.624743,21.624743,9.4754734,66.51207,41.86641,36.605304
21.677292,21.677292,9.4985008,68.35719,42.265746,36.830796
21.729843,21.729843,9.5215273,68.43767,41.39725,36.938036
21.782394,21.782394,9.5445538,69.146308,43.273352,37.042164
21.834946,21.834946,9.5675802,68.724586,43.21883,36.507916
21.887497,21.887497,9.5906067,68.805918,42.78238,36.637076
21.940048,21.940048,9.6136341,68.237026,41.693234,38.727594
21.992599,21.992599,9.6366606,68.466734,40.32057,37.109998
22.045149,22.045149,9.659687,69.815834,42.240848,36.57072
22.0977,22.0977,9.6827135,69.538178,42.52559,36.030965
22.150251,22.150251,9.70574,67.332692,43.689114,36.462848
22.202803,22.202803,9.7287674,65.92309,42.397524,36.53931
22.255354,22.255354,9.7517939,67.190782,41.698706,36.546224
22.307905,22.307905,9.7748203,67.2036240000001,43.520518,36.420792
22.360456,22.360456,9.7978468,66.72328,42.602494,36.511638
22.413008,22.413008,9.8208733,66.640052,42.675568,36.764378
22.465557,22.465557,9.8439007,68.00699,41.469894,36.583932
22.518108,22.518108,9.8669271,67.354464,41.82392,36.388048
22.57066,22.57066,9.8899536,67.230088,44.218334,36.48954
22.623211,22.623211,9.9129801,67.447658,42.606338,36.333984
22.675762,22.675762,9.9360075,67.453946,42.684786,36.48613
22.728313,22.728313,9.959034,65.517064,40.44379,36.222306
22.780865,22.780865,9.9820604,66.109062,40.635252,36.414728
22.833414,22.833414,10.005087,65.701856,41.75599,36.539104
