,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi,,ip,,oop,,ip,,oop
,PCE doped,,PCE doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,PCE doped,,PCE doped,,PCE doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,back,,back,,back,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped
0.53663069,4.64143,0.53663069,7.306019,0.53663069,5.831225,0.53663069,3.475491,0.53663069,6.146033,0.53663069,4.621582,0.53663069,4.588001,0.53663069,8.946976,0.53663069,6.62223300000001,0.53663069,1.659207,0.53663069,3.873427,0.53663069,2.83722,0.53663069,16.619007,0.53663069,16.385515,0.53663069,17.150356,0.53663069,12.1264396,0.53663069,21.736594,0.53663069,8.3259806,0.53663069,16.632353
0.55688089,4.466518,0.55688089,7.216726,0.55688089,5.948693,0.55688089,2.977743,0.55688089,6.581556,0.55688089,4.744978,0.55688089,4.624145,0.55688089,9.192587,0.55688089,6.869068,0.55688089,2.052513,0.55688089,3.797399,0.55688089,3.126072,0.55688089,16.455292,0.55688089,16.630068,0.55688089,17.007631,0.55688089,12.6382936,0.55688089,22.1961364,0.55688089,9.1396056,0.55688089,16.3875154
0.57713109,4.45689,0.57713109,7.002634,0.57713109,6.032536,0.57713109,3.130642,0.57713109,6.817022,0.57713109,4.997065,0.57713109,5.09798,0.57713109,9.430523,0.57713109,7.311766,0.57713109,2.567913,0.57713109,4.171984,0.57713109,3.433886,0.57713109,16.253483,0.57713109,16.984625,0.57713109,17.052158,0.57713109,13.2392664,0.57713109,23.243778,0.57713109,9.13057640000001,0.57713109,16.623848
0.59738129,4.391319,0.59738129,6.92923,0.59738129,6.141624,0.59738129,4.217203,0.59738129,6.677099,0.59738129,5.370618,0.59738129,5.995441,0.59738129,9.440075,0.59738129,7.720306,0.59738129,2.821472,0.59738129,4.096449,0.59738129,3.434122,0.59738129,16.184933,0.59738129,17.389414,0.59738129,17.16153,0.59738129,13.5102204,0.59738129,24.5158172,0.59738129,9.3897584,0.59738129,16.9843882
0.61763155,4.560998,0.61763155,7.461674,0.61763155,6.503477,0.61763155,4.68276,0.61763155,6.444589,0.61763155,5.679081,0.61763155,6.401073,0.61763155,9.099317,0.61763155,7.889027,0.61763155,3.09992,0.61763155,3.969723,0.61763155,3.516587,0.61763155,15.993731,0.61763155,17.550913,0.61763155,17.117954,0.61763155,13.7923788,0.61763155,25.3250514,0.61763155,9.9755928,0.61763155,17.1049464
0.63788176,4.417662,0.63788176,8.293201,0.63788176,6.847975,0.63788176,3.788067,0.63788176,6.305761,0.63788176,5.43384,0.63788176,5.573613,0.63788176,9.11753,0.63788176,7.741347,0.63788176,2.342076,0.63788176,4.446863,0.63788176,3.657788,0.63788176,16.764896,0.63788176,17.291224,0.63788176,17.283754,0.63788176,13.8296578,0.63788176,25.8082972,0.63788176,9.4009868,0.63788176,17.8163572
0.65813196,4.627155,0.65813196,8.715372,0.65813196,7.103893,0.65813196,3.355175,0.65813196,6.18086,0.65813196,5.220472,0.65813196,5.081678,0.65813196,9.574844,0.65813196,7.793976,0.65813196,2.05491,0.65813196,4.368019,0.65813196,3.682415,0.65813196,16.696938,0.65813196,17.086302,0.65813196,17.261988,0.65813196,13.6413744,0.65813196,25.8600356,0.65813196,9.6345484,0.65813196,18.9431536
0.67838216,5.207054,0.67838216,9.147367,0.67838216,7.548862,0.67838216,4.434356,0.67838216,6.526615,0.67838216,5.638954,0.67838216,5.880271,0.67838216,10.175495,0.67838216,8.19829,0.67838216,2.62218,0.67838216,4.69062,0.67838216,3.854366,0.67838216,16.139668,0.67838216,17.054951,0.67838216,17.135334,0.67838216,13.6411344,0.67838216,26.3589148,0.67838216,10.0030574,0.67838216,20.0712288
0.69863242,5.534632,0.69863242,9.49974,0.69863242,7.72727,0.69863242,4.71755,0.69863242,6.967046,0.69863242,5.893158,0.69863242,6.439386,0.69863242,10.925876,0.69863242,8.606476,0.69863242,2.617996,0.69863242,4.942936,0.69863242,3.801025,0.69863242,16.248911,0.69863242,17.569712,0.69863242,17.507063,0.69863242,13.7150478,0.69863242,27.3425536,0.69863242,9.69709980000001,0.69863242,20.4176156
0.71888262,5.173527,0.71888262,9.47720700000001,0.71888262,7.545067,0.71888262,4.128843,0.71888262,7.308144,0.71888262,5.877683,0.71888262,6.274294,0.71888262,11.19253,0.71888262,8.796848,0.71888262,2.637457,0.71888262,4.946201,0.71888262,3.64579,0.71888262,16.458563,0.71888262,18.013214,0.71888262,17.824446,0.71888262,13.7049704,0.71888262,28.5554312,0.71888262,10.0550914,0.71888262,20.3449552
0.73913282,5.577416,0.73913282,9.447527,0.73913282,7.637326,0.73913282,4.430336,0.73913282,7.188621,0.73913282,5.879616,0.73913282,5.747204,0.73913282,10.88777,0.73913282,8.752381,0.73913282,2.923094,0.73913282,4.576992,0.73913282,3.756779,0.73913282,16.598728,0.73913282,18.355095,0.73913282,17.965322,0.73913282,13.9071714,0.73913282,29.059751,0.73913282,10.2633254,0.73913282,20.012647
0.75938302,4.753239,0.75938302,9.883011,0.75938302,7.615982,0.75938302,3.911168,0.75938302,7.169721,0.75938302,5.857023,0.75938302,5.020857,0.75938302,11.124698,0.75938302,8.574429,0.75938302,2.326874,0.75938302,4.836673,0.75938302,3.804365,0.75938302,17.385305,0.75938302,18.323727,0.75938302,18.166727,0.75938302,13.465118,0.75938302,28.9971656,0.75938302,9.368129,0.75938302,20.6986196
0.77963322,4.471538,0.77963322,11.080571,0.77963322,8.04244200000001,0.77963322,3.758939,0.77963322,8.188687,0.77963322,6.216349,0.77963322,5.120191,0.77963322,12.176031,0.77963322,9.05878100000001,0.77963322,2.704162,0.77963322,5.37625,0.77963322,4.174164,0.77963322,17.499392,0.77963322,17.918184,0.77963322,18.096281,0.77963322,13.8010456,0.77963322,30.1910042,0.77963322,9.4260686,0.77963322,22.2232882
0.79988348,5.551552,0.79988348,11.91374,0.79988348,8.709629,0.79988348,3.837166,0.79988348,9.477861,0.79988348,6.778494,0.79988348,5.828564,0.79988348,12.738228,0.79988348,9.582247,0.79988348,2.991362,0.79988348,5.857263,0.79988348,4.480898,0.79988348,17.281704,0.79988348,17.818024,0.79988348,18.059664,0.79988348,14.2078702,0.79988348,32.2872712,0.79988348,9.9496112,0.79988348,23.6901222
0.82013369,5.61182,0.82013369,12.733368,0.82013369,9.130772,0.82013369,3.982693,0.82013369,10.297093,0.82013369,7.195193,0.82013369,6.243536,0.82013369,13.071002,0.82013369,9.649479,0.82013369,2.832172,0.82013369,6.805766,0.82013369,4.756167,0.82013369,17.303734,0.82013369,17.626575,0.82013369,18.246923,0.82013369,15.2867922,0.82013369,34.720882,0.82013369,10.0948232,0.82013369,25.137253
0.84038389,5.535408,0.84038389,13.407056,0.84038389,9.327082,0.84038389,3.578695,0.84038389,10.473299,0.84038389,7.023316,0.84038389,5.699678,0.84038389,13.510473,0.84038389,9.62976300000001,0.84038389,2.49716,0.84038389,7.411092,0.84038389,4.79094900000001,0.84038389,17.621685,0.84038389,17.783028,0.84038389,18.672014,0.84038389,15.631993,0.84038389,36.1786424,0.84038389,9.794444,0.84038389,26.0687564
0.86063409,5.161657,0.86063409,13.964737,0.86063409,9.4407,0.86063409,3.776912,0.86063409,10.445389,0.86063409,7.153423,0.86063409,5.42141300000001,0.86063409,14.288687,0.86063409,10.161809,0.86063409,2.422912,0.86063409,7.600353,0.86063409,5.02526,0.86063409,17.597813,0.86063409,17.973322,0.86063409,18.811295,0.86063409,15.0456724,0.86063409,37.4502246,0.86063409,9.9366064,0.86063409,26.9317426
0.88088435,5.40289,0.88088435,14.283245,0.88088435,9.882562,0.88088435,4.788002,0.88088435,10.554227,0.88088435,7.782177,0.88088435,6.243313,0.88088435,14.793029,0.88088435,10.93116,0.88088435,2.938277,0.88088435,7.271412,0.88088435,5.292713,0.88088435,17.312721,0.88088435,18.315781,0.88088435,18.680651,0.88088435,15.1173588,0.88088435,38.5831088,0.88088435,11.0254798,0.88088435,27.4803218
0.90113455,5.540262,0.90113455,13.551934,0.90113455,10.026447,0.90113455,4.871503,0.90113455,10.247956,0.90113455,7.830637,0.90113455,6.795866,0.90113455,14.734352,0.90113455,11.152043,0.90113455,2.795478,0.90113455,6.843985,0.90113455,5.15932500000001,0.90113455,17.404799,0.90113455,18.968948,0.90113455,18.793455,0.90113455,15.5287802,0.90113455,38.7796434,0.90113455,11.2056752,0.90113455,27.0969234
0.92138475,5.612381,0.92138475,12.856091,0.92138475,9.78572,0.92138475,4.635613,0.92138475,9.577824,0.92138475,7.525352,0.92138475,6.411619,0.92138475,14.37156,0.92138475,10.74278,0.92138475,2.841641,0.92138475,6.472394,0.92138475,4.883184,0.92138475,17.563629,0.92138475,19.589828,0.92138475,19.258408,0.92138475,15.8506092,0.92138475,39.0576474,0.92138475,11.6800122,0.92138475,27.4307744
0.94163495,5.942119,0.94163495,13.329523,0.94163495,10.043974,0.94163495,4.769025,0.94163495,9.744619,0.94163495,7.496947,0.94163495,6.470714,0.94163495,14.513952,0.94163495,10.937748,0.94163495,2.911754,0.94163495,6.821884,0.94163495,5.03961,0.94163495,17.588963,0.94163495,19.558794,0.94163495,19.529165,0.94163495,16.0845054,0.94163495,40.4512192,0.94163495,11.9372694,0.94163495,28.7470642
0.96188515,5.944227,0.96188515,14.700674,0.96188515,10.516417,0.96188515,4.44864,0.96188515,10.4069,0.96188515,7.804598,0.96188515,6.734067,0.96188515,15.233457,0.96188515,11.467915,0.96188515,2.794069,0.96188515,7.783224,0.96188515,5.453041,0.96188515,17.776875,0.96188515,19.11566,0.96188515,19.477312,0.96188515,16.361624,0.96188515,42.164678,0.96188515,11.953265,0.96188515,30.248182
0.98213542,6.257461,0.98213542,15.371318,0.98213542,10.795616,0.98213542,4.363956,0.98213542,10.857257,0.98213542,8.207716,0.98213542,7.21510700000001,0.98213542,15.501171,0.98213542,11.767155,0.98213542,3.034658,0.98213542,8.254812,0.98213542,5.619156,0.98213542,17.842049,0.98213542,19.434998,0.98213542,19.58181,0.98213542,16.3135932,0.98213542,43.4289404,0.98213542,11.4832252,0.98213542,31.0109724
1.0023856,6.178183,1.0023856,15.543361,1.0023856,10.819081,1.0023856,4.589085,1.0023856,11.27367,1.0023856,8.330572,1.0023856,7.291779,1.0023856,15.797142,1.0023856,11.917359,1.0023856,2.839949,1.0023856,8.147169,1.0023856,5.569302,1.0023856,18.125549,1.0023856,20.008572,1.0023856,19.958677,1.0023856,15.7807822,1.0023856,45.0427226,1.0023856,11.0168392,1.0023856,31.6551186
1.0226358,5.709204,1.0226358,15.820379,1.0226358,10.719841,1.0226358,4.841152,1.0226358,11.973568,1.0226358,8.49341,1.0226358,6.980045,1.0226358,16.526831,1.0226358,12.233395,1.0226358,2.945894,1.0226358,8.10081099999999,1.0226358,5.673689,1.0226358,18.359169,1.0226358,19.996149,1.0226358,20.20335,1.0226358,15.8534772,1.0226358,46.4372232,1.0226358,11.4147062,1.0226358,33.0490582
1.042886,5.172428,1.042886,16.563442,1.042886,10.892431,1.042886,4.433519,1.042886,12.750939,1.042886,8.792509,1.042886,6.424965,1.042886,17.638977,1.042886,12.525547,1.042886,2.837145,1.042886,8.486315,1.042886,5.708361,1.042886,19.026226,1.042886,19.546028,1.042886,20.48011,1.042886,15.4775878,1.042886,48.3409774,1.042886,10.9030568,1.042886,35.2663354
1.0631362,5.289711,1.0631362,16.807101,1.0631362,11.30912,1.0631362,4.219143,1.0631362,13.033972,1.0631362,8.96545,1.0631362,6.216647,1.0631362,18.482851,1.0631362,12.919266,1.0631362,2.575324,1.0631362,9.09356,1.0631362,5.804468,1.0631362,19.320499,1.0631362,19.652353,1.0631362,20.703148,1.0631362,15.8752462,1.0631362,49.9411704,1.0631362,10.7902242,1.0631362,36.0908974
1.0833864,5.634973,1.0833864,16.924667,1.0833864,11.850834,1.0833864,4.642277,1.0833864,13.015602,1.0833864,9.234249,1.0833864,6.703169,1.0833864,19.095772,1.0833864,13.242069,1.0833864,2.844114,1.0833864,9.43037,1.0833864,6.025209,1.0833864,19.038685,1.0833864,20.272545,1.0833864,20.773327,1.0833864,16.038214,1.0833864,51.45634,1.0833864,11.357245,1.0833864,36.63634
1.1036366,5.646424,1.1036366,17.388879,1.1036366,12.1889,1.1036366,4.805533,1.1036366,13.164869,1.1036366,9.450333,1.1036366,6.892643,1.1036366,19.376474,1.1036366,13.342884,1.1036366,3.152911,1.1036366,9.341381,1.1036366,6.174408,1.1036366,18.845411,1.1036366,20.521891,1.1036366,20.884361,1.1036366,16.2130368,1.1036366,52.6373878,1.1036366,11.7889678,1.1036366,37.4431278
1.1238869,5.927523,1.1238869,18.488036,1.1238869,12.606167,1.1238869,4.890829,1.1238869,13.673758,1.1238869,9.573198,1.1238869,6.873953,1.1238869,19.251501,1.1238869,13.312145,1.1238869,3.028156,1.1238869,9.515557,1.1238869,6.281779,1.1238869,18.968218,1.1238869,20.434816,1.1238869,21.198448,1.1238869,16.4636934,1.1238869,54.5299938,1.1238869,12.0154284,1.1238869,39.1567108
1.1441371,6.642546,1.1441371,18.635136,1.1441371,13.00955,1.1441371,5.054716,1.1441371,14.087231,1.1441371,9.69928500000001,1.1441371,6.902355,1.1441371,19.904217,1.1441371,13.613775,1.1441371,3.16737000000001,1.1441371,10.059292,1.1441371,6.628248,1.1441371,19.054083,1.1441371,20.619247,1.1441371,21.48992,1.1441371,17.1224544,1.1441371,55.8704826,1.1441371,11.8843334,1.1441371,40.5896366
1.1643873,6.507769,1.1643873,18.715534,1.1643873,13.29259,1.1643873,5.029888,1.1643873,13.997665,1.1643873,10.119223,1.1643873,6.763849,1.1643873,20.853439,1.1643873,14.104674,1.1643873,2.747803,1.1643873,10.543363,1.1643873,6.828047,1.1643873,19.454937,1.1643873,21.240677,1.1643873,21.88936,1.1643873,16.7699046,1.1643873,58.3423876,1.1643873,11.5315746,1.1643873,42.1465936
1.1846375,6.498257,1.1846375,19.749743,1.1846375,13.956223,1.1846375,4.981133,1.1846375,14.219431,1.1846375,10.629929,1.1846375,7.558703,1.1846375,21.643408,1.1846375,15.0322,1.1846375,2.67948,1.1846375,11.111212,1.1846375,7.137564,1.1846375,19.642166,1.1846375,21.356443,1.1846375,22.21455,1.1846375,16.9807468,1.1846375,60.5329744,1.1846375,12.3303748,1.1846375,43.5207594
1.2048877,6.258265,1.2048877,20.61021,1.2048877,14.713671,1.2048877,4.975071,1.2048877,15.069969,1.2048877,11.337843,1.2048877,7.864607,1.2048877,21.8727,1.2048877,15.998892,1.2048877,2.865463,1.2048877,11.690014,1.2048877,7.698494,1.2048877,19.676317,1.2048877,21.219513,1.2048877,22.908846,1.2048877,17.2048256,1.2048877,62.8063374,1.2048877,12.7416526,1.2048877,45.0412234
1.2251379,5.923735,1.2251379,21.100142,1.2251379,15.739694,1.2251379,5.263928,1.2251379,16.058928,1.2251379,12.505842,1.2251379,7.83595300000001,1.2251379,22.632109,1.2251379,17.453664,1.2251379,2.934546,1.2251379,12.139166,1.2251379,8.641882,1.2251379,19.944103,1.2251379,21.368696,1.2251379,24.621489,1.2251379,16.9462114,1.2251379,64.5395568,1.2251379,12.6901154,1.2251379,46.9858758
