,ip,,oop,,azi,,ip,,oop,,azi,,ip,,oop,,azi,,ip,,oop,,azi,,rad,,rad,,rad,,rad
,PBTTT doped,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped,,PBTTT undoped,,PBTTT dedoped,,PBTTT dedoped,,PBTTT dedoped,,back,,back,,back,,doped,,undoped,,dedoped,,back
0.53663069,12.1264396,0.53663069,21.736594,0.53663069,16.9298878,0.53663069,8.3259806,0.53663069,16.632353,0.53663069,12.1025448,0.53663069,6.9886246,0.53663069,13.710303,0.53663069,10.4585338,0.53663069,16.619007,0.53663069,16.385515,0.53663069,17.150356,-155.49998,351.43892,-155.49998,317.28052,-155.49998,363.73832,-155.49998,856.79028
0.55688089,12.6382936,0.55688089,22.1961364,0.55688089,17.6195868,0.55688089,9.1396056,0.55688089,16.3875154,0.55688089,12.6510388,0.55688089,7.1546736,0.55688089,14.3278694,0.55688089,10.6908008,0.55688089,16.455292,0.55688089,16.630068,0.55688089,17.007631,-154.49997,347.41452,-154.49997,310.46722,-154.49997,356.29902,-154.49997,862.05048
0.57713109,13.2392664,0.57713109,23.243778,0.57713109,18.5169864,0.57713109,9.13057640000001,0.57713109,16.623848,0.57713109,12.9727664,0.57713109,7.5932214,0.57713109,13.974102,0.57713109,10.9042204,0.57713109,16.253483,0.57713109,16.984625,0.57713109,17.052158,-153.49997,347.29941,-153.49997,311.72521,-153.49997,362.18631,-153.49997,859.40399
0.59738129,13.5102204,0.59738129,24.5158172,0.59738129,19.178156,0.59738129,9.3897584,0.59738129,16.9843882,0.59738129,13.246904,0.59738129,8.0187614,0.59738129,13.3949062,0.59738129,11.324386,0.59738129,16.184933,0.59738129,17.389414,0.59738129,17.16153,-152.49998,350.48299,-152.49998,313.95639,-152.49998,365.92119,-152.49998,858.83441
0.61763155,13.7923788,0.61763155,25.3250514,0.61763155,19.6989182,0.61763155,9.9755928,0.61763155,17.1049464,0.61763155,13.7431922,0.61763155,8.8689378,0.61763155,13.8993724,0.61763155,12.1342102,0.61763155,15.993731,0.61763155,17.550913,0.61763155,17.117954,-151.49997,352.77143,-151.49997,315.84393,-151.49997,372.47943,-151.49997,856.15387
0.63788176,13.8296578,0.63788176,25.8082972,0.63788176,19.8415192,0.63788176,9.4009868,0.63788176,17.8163572,0.63788176,14.1290022,0.63788176,8.2115928,0.63788176,15.0589192,0.63788176,12.2926642,0.63788176,16.764896,0.63788176,17.291224,0.63788176,17.283754,-150.49997,344.45347,-150.49997,313.15617,-150.49997,366.47787,-150.49997,863.50073
0.65813196,13.6413744,0.65813196,25.8600356,0.65813196,19.9745034,0.65813196,9.6345484,0.65813196,18.9431536,0.65813196,14.6759494,0.65813196,7.8757934,0.65813196,16.2881586,0.65813196,12.4804844,0.65813196,16.696938,0.65813196,17.086302,0.65813196,17.261988,-149.49997,350.15566,-149.49997,312.85356,-149.49997,366.64186,-149.49997,866.35724
0.67838216,13.6411344,0.67838216,26.3589148,0.67838216,20.2929992,0.67838216,10.0030574,0.67838216,20.0712288,0.67838216,15.1422352,0.67838216,8.9528944,0.67838216,17.2500468,0.67838216,13.0917362,0.67838216,16.139668,0.67838216,17.054951,0.67838216,17.135334,-148.49997,355.88925,-148.49997,311.70915,-148.49997,367.22995,-148.49997,864.39105
0.69863242,13.7150478,0.69863242,27.3425536,0.69863242,20.6468934,0.69863242,9.69709980000001,0.69863242,20.4176156,0.69863242,15.2707984,0.69863242,9.5301248,0.69863242,17.5157716,0.69863242,13.5029914,0.69863242,16.248911,0.69863242,17.569712,0.69863242,17.507063,-147.49997,354.12636,-147.49997,314.35406,-147.49997,372.13956,-147.49997,866.54364
0.71888262,13.7049704,0.71888262,28.5554312,0.71888262,21.0483898,0.71888262,10.0550914,0.71888262,20.3449552,0.71888262,15.5090568,0.71888262,9.1828894,0.71888262,17.5925172,0.71888262,13.6642648,0.71888262,16.458563,0.71888262,18.013214,0.71888262,17.824446,-146.49998,354.05022,-146.49998,316.91242,-146.49998,373.10702,-146.49998,868.62238
0.73913282,13.9071714,0.73913282,29.059751,0.73913282,21.6555266,0.73913282,10.2633254,0.73913282,20.012647,0.73913282,15.6802686,0.73913282,8.4636524,0.73913282,18.065202,0.73913282,13.8776866,0.73913282,16.598728,0.73913282,18.355095,0.73913282,17.965322,-145.49998,358.15386,-145.49998,320.74446,-145.49998,373.49616,-145.49998,868.78534
0.75938302,13.465118,0.75938302,28.9971656,0.75938302,21.7866476,0.75938302,9.368129,0.75938302,20.6986196,0.75938302,15.8076506,0.75938302,7.658424,0.75938302,18.5602226,0.75938302,14.0110086,0.75938302,17.385305,0.75938302,18.323727,0.75938302,18.166727,-144.49997,359.79578,-144.49997,320.26448,-144.49997,376.74028,-144.49997,871.88562
0.77963322,13.8010456,0.77963322,30.1910042,0.77963322,22.6390158,0.77963322,9.4260686,0.77963322,22.2232882,0.77963322,16.4978758,0.77963322,8.1242766,0.77963322,19.7862232,0.77963322,14.6015788,0.77963322,17.499392,0.77963322,17.918184,0.77963322,18.096281,-143.49997,364.86279,-143.49997,331.06649,-143.49997,387.12929,-143.49997,869.45581
