Wavenumber[1/cm],120C,110C,100C,90C,80C,70C
2085.155,0.01153,0.09410000000000002,0.19060000000000002,0.2547,0.3045,0.3731
2085.637,0.01131,0.09390000000000001,0.1904,0.2545,0.3044,0.3733
2086.119,0.01099,0.0937,0.19010000000000002,0.2543,0.3042,0.3733
2086.601,0.01062,0.09340000000000001,0.1898,0.2541,0.3038,0.3731
2087.083,0.01025,0.09310000000000002,0.1895,0.2541,0.3034,0.373
2087.565,0.009936,0.09280000000000002,0.1894,0.2541,0.3031,0.373
2088.048,0.009737,0.0927,0.1894,0.2543,0.3031,0.3731
2088.53,0.00967,0.0927,0.1897,0.2545,0.3033,0.3733
2089.012,0.009708,0.09280000000000002,0.19,0.2547,0.3037,0.3735
2089.494,0.00981,0.093,0.1902,0.255,0.3042,0.3736
2089.976,0.00991,0.09310000000000002,0.1904,0.2552,0.3046,0.3736
2090.458,0.009944,0.0932,0.1905,0.2553,0.3049,0.3736
2090.94,0.009869,0.0932,0.1905,0.2554,0.3051,0.3735
2091.422,0.009668,0.09310000000000002,0.1905,0.2554,0.3051,0.3735
2091.905,0.009363,0.09290000000000001,0.1905,0.2553,0.3049,0.3735
2092.387,0.009014,0.09260000000000002,0.1904,0.2551,0.3047,0.3736
2092.869,0.008696,0.09230000000000002,0.1903,0.2549,0.3044,0.3737
2093.351,0.008472,0.0922,0.1902,0.2546,0.3041,0.3738
2093.833,0.008388,0.0922,0.1902,0.2544,0.3039,0.3739
2094.315,0.008444,0.09230000000000002,0.1902,0.2543,0.3039,0.374
2094.797,0.008614,0.0925,0.1904,0.2544,0.3039,0.3742
2095.279,0.008861,0.09280000000000002,0.1908,0.2546,0.3041,0.3744
2095.761,0.00915,0.0932,0.1913,0.2549,0.3043,0.3747
2096.244,0.009462,0.09360000000000002,0.19190000000000002,0.2553,0.3046,0.3751
2096.726,0.009781,0.09390000000000001,0.19240000000000002,0.2558,0.3048,0.3755
2097.208,0.01008,0.09430000000000002,0.1927,0.2564,0.305,0.3759
2097.69,0.01031,0.09460000000000002,0.19290000000000002,0.2569,0.3053,0.3762
2098.172,0.01044,0.09480000000000002,0.19290000000000002,0.2574,0.3057,0.3763
2098.654,0.01041,0.09480000000000002,0.1926,0.2579,0.3063,0.3763
2099.136,0.01023,0.0947,0.1923,0.2584,0.3069,0.3761
2099.618,0.009944,0.0945,0.192,0.2587,0.3076,0.3759
2100.101,0.009628,0.09430000000000002,0.1917,0.259,0.3082,0.3758
2100.583,0.009371,0.09410000000000002,0.1915,0.2593,0.3087,0.3759
2101.065,0.00924,0.094,0.1915,0.2596,0.309,0.3761
2101.547,0.009277,0.09410000000000002,0.1917,0.2598,0.309,0.3765
2102.029,0.009465,0.09440000000000001,0.19190000000000002,0.2599,0.3088,0.3769
2102.511,0.009762,0.0947,0.1922,0.2599,0.3085,0.3772
2102.993,0.0101,0.09510000000000002,0.1925,0.2598,0.3082,0.3775
2103.475,0.01042,0.0955,0.19290000000000002,0.2596,0.308,0.3778
2103.957,0.01064,0.09580000000000002,0.1933,0.2593,0.3079,0.3781
2104.44,0.01073,0.096,0.1937,0.2589,0.3079,0.3786
2104.922,0.01068,0.096,0.1941,0.2587,0.3081,0.3791
2105.404,0.01052,0.09590000000000001,0.1946,0.2585,0.3082,0.3796
2105.886,0.01032,0.09580000000000002,0.1951,0.2586,0.3085,0.38
2106.368,0.01017,0.09570000000000001,0.1955,0.2587,0.3088,0.3801
2106.85,0.01013,0.09570000000000001,0.19580000000000003,0.259,0.3091,0.38
