Wavenumber,doped PBTTT,neat PBTTT
1013.7130000000001,0.9134,0.6589
1014.677,0.9087,0.653
1015.6410000000001,0.9036,0.6474
1016.605,0.8984,0.6421
1017.57,0.8931,0.6369
1018.534,0.8882,0.6317
1019.498,0.8836,0.6266
1020.462,0.8795,0.6214
1021.426,0.8759,0.6164
1022.3910000000001,0.8726,0.6114
1023.355,0.8695,0.6064
1024.319,0.8662,0.6012
1025.2830000000001,0.8624,0.5957
1026.248,0.858,0.59
1027.212,0.8528,0.5842
1028.1760000000002,0.8472,0.5784
1029.14,0.8414,0.5728
1030.105,0.8357,0.5675
1031.069,0.8304,0.5623
1032.0330000000001,0.8252,0.5571
1032.997,0.8202,0.5519
1033.962,0.815,0.5466
1034.9260000000002,0.8097,0.5413
1035.89,0.8042,0.5359
1036.854,0.7987,0.5305
1037.818,0.7932,0.525
1038.7830000000001,0.7876,0.5194
1039.747,0.7821,0.5138
1040.711,0.7764,0.5081
1041.675,0.7707,0.5024
1042.64,0.765,0.4969
1043.604,0.7593,0.4914
1044.568,0.7536,0.4861
1045.532,0.748,0.4807
1046.497,0.7426,0.4754
1047.461,0.7371,0.47
1048.425,0.7318,0.4646
1049.389,0.7265,0.4593
1050.353,0.7212,0.4542
1051.318,0.7162,0.4491
1052.282,0.7112,0.444
1053.246,0.7064,0.4389
1054.21,0.7017,0.4338
1055.175,0.6972,0.4286
1056.139,0.6929,0.4235
1057.103,0.6887,0.4185
1058.067,0.6848,0.4137
1059.032,0.6809,0.409
1059.996,0.6772,0.4043
1060.96,0.6735,0.3999
1061.924,0.6698,0.3955
1062.889,0.6661,0.3914
1063.853,0.6624,0.3873
1064.817,0.6589,0.3832
1065.781,0.6554,0.3791
1066.745,0.6519,0.3749
1067.71,0.6484,0.3706
1068.674,0.6449,0.3663
1069.638,0.6413,0.3621
1070.6019999999999,0.6376,0.358
1071.567,0.634,0.3542
1072.531,0.6305,0.3505
1073.495,0.6271,0.3468
1074.4589999999998,0.6241,0.3432
1075.424,0.6213,0.3396
1076.388,0.6185,0.336
1077.3519999999999,0.6157,0.3324
1078.316,0.6127,0.3289
1079.28,0.6096,0.3255
1080.245,0.6063,0.3221
1081.2089999999998,0.603,0.3188
1082.173,0.5995,0.3155
1083.137,0.5959,0.3121
1084.1019999999999,0.5920000000000001,0.3088
1085.066,0.5877,0.3055
1086.03,0.583,0.3022
1086.994,0.5782,0.299
1087.9589999999998,0.5733,0.29600000000000004
1088.923,0.5686,0.2931
1089.887,0.564,0.2904
1090.851,0.5596,0.2878
1091.816,0.5556,0.2853
1092.78,0.552,0.2829
1093.744,0.5489,0.2807
1094.708,0.5463,0.2786
1095.672,0.5443,0.2766
1096.637,0.5429999999999999,0.2747
1097.601,0.5422,0.273
1098.565,0.5421,0.2713
1099.529,0.5426,0.2698
1100.494,0.5435,0.2683
1101.458,0.5448,0.2669
1102.422,0.5462,0.2655
1103.386,0.5474,0.2642
1104.351,0.5484,0.2629
1105.315,0.5491,0.2617
1106.279,0.5495,0.2606
1107.243,0.5497,0.2594
1108.2069999999999,0.5498,0.2582
1109.172,0.5497,0.257
1110.136,0.5494,0.2556
1111.1,0.5488,0.2541
1112.0639999999999,0.5478,0.2527
1113.029,0.5465,0.2513
1113.993,0.5449,0.2499
1114.9569999999999,0.5432,0.2487
1115.921,0.5419,0.2474
1116.886,0.5409,0.2462
1117.85,0.5404,0.2448
1118.8139999999999,0.5403,0.2435
1119.778,0.5404,0.2422
1120.743,0.5405,0.2409
1121.7069999999999,0.5406,0.2397
1122.671,0.5405,0.2385
1123.635,0.5404,0.2373
1124.599,0.5404,0.2362
1125.5639999999999,0.5405,0.235
1126.528,0.5409,0.2338
1127.492,0.5415,0.2327
1128.4560000000001,0.5423,0.2316
1129.421,0.5429999999999999,0.2305
1130.385,0.5437,0.2294
1131.349,0.5443,0.2283
1132.313,0.5449,0.2272
1133.278,0.5456,0.2261
1134.242,0.5466,0.2248
1135.2060000000001,0.5478,0.2235
1136.17,0.5493,0.2222
1137.134,0.5511,0.2209
1138.099,0.5532,0.2196
1139.063,0.5555,0.2183
1140.027,0.5577,0.2172
1140.991,0.5596,0.21600000000000003
1141.9560000000001,0.5604,0.2149
1142.92,0.5599,0.2136
1143.884,0.5579999999999999,0.2123
1144.848,0.5548,0.2108
1145.813,0.5511,0.2092
1146.777,0.5474,0.2075
1147.741,0.5442,0.2058
1148.705,0.5415,0.2041
1149.67,0.5393,0.2023
1150.634,0.5372,0.2005
1151.598,0.5349,0.1986
1152.562,0.5325,0.1967
1153.526,0.5297,0.1947
1154.491,0.5267,0.1926
1155.455,0.5235,0.1904
1156.4189999999999,0.5201,0.1882
1157.383,0.5165,0.1858
1158.348,0.5129,0.1834
1159.312,0.5092,0.18100000000000002
1160.276,0.5055,0.1787
1161.24,0.5018,0.1764
1162.205,0.498,0.1742
1163.1689999999999,0.4941,0.172
1164.133,0.49,0.17
1165.097,0.4856,0.1679
1166.0610000000001,0.4813,0.166
1167.026,0.47700000000000004,0.1641
1167.99,0.473,0.1622
1168.954,0.4693,0.1605
1169.9180000000001,0.466,0.1588
1170.883,0.46299999999999997,0.1572
1171.847,0.4604,0.1558
1172.8110000000001,0.4581,0.1544
1173.775,0.4562,0.153
1174.74,0.4545,0.1517
1175.704,0.45299999999999996,0.1503
1176.6680000000001,0.4516,0.149
1177.632,0.4503,0.1477
1178.597,0.4489,0.1465
1179.5610000000001,0.4477,0.1452
1180.525,0.4465,0.1439
1181.489,0.4454,0.1425
1182.453,0.4444,0.1412
1183.4180000000001,0.4434,0.1397
1184.382,0.4423,0.1382
1185.346,0.4413,0.1366
1186.31,0.4402,0.135
1187.275,0.4392,0.1334
1188.239,0.4382,0.1318
1189.203,0.4372,0.1303
1190.167,0.4361,0.1287
1191.132,0.4351,0.1272
1192.096,0.4338,0.1256
1193.06,0.4324,0.1239
1194.024,0.4307,0.1222
1194.988,0.4285,0.1204
1195.953,0.4259,0.1185
1196.917,0.4227,0.1167
1197.881,0.419,0.1149
1198.845,0.415,0.1131
1199.81,0.4107,0.1114
1200.774,0.4063,0.1095
1201.738,0.4019,0.1076
1202.702,0.3973,0.1056
1203.667,0.3927,0.1035
1204.631,0.3879,0.1013
1205.595,0.38299999999999995,0.09912
1206.559,0.3779,0.09686
1207.524,0.3727,0.09459
1208.488,0.3673,0.09233999999999999
1209.452,0.36200000000000004,0.09011
1210.4160000000002,0.3566,0.08793
1211.38,0.3513,0.08581
1212.345,0.34600000000000003,0.08376
1213.309,0.341,0.08177000000000001
1214.2730000000001,0.3362,0.07984
1215.237,0.3318,0.07795
1216.202,0.3278,0.0761
1217.1660000000002,0.3242,0.07426
1218.13,0.3211,0.07243
1219.094,0.3182,0.07059
1220.059,0.3157,0.06873
1221.0230000000001,0.3133,0.06685
1221.987,0.3111,0.06497
1222.951,0.3088,0.06308
1223.9160000000002,0.3065,0.0612
1224.88,0.3041,0.05934
1225.844,0.3016,0.05753
1226.808,0.2989,0.05577000000000001
1227.772,0.2963,0.0541
1228.737,0.2937,0.05252999999999999
1229.701,0.2914,0.05108
1230.665,0.2894,0.04972
1231.629,0.2878,0.04846
1232.594,0.2866,0.04727
1233.558,0.2858,0.04615
1234.522,0.2855,0.045110000000000004
1235.486,0.2855,0.04415
1236.451,0.2859,0.04325
1237.415,0.2866,0.0424
1238.379,0.2876,0.041569999999999996
1239.343,0.2889,0.040760000000000005
1240.307,0.2903,0.03998
1241.272,0.2918,0.03925
1242.236,0.2932,0.03858
1243.2,0.2946,0.03797
1244.164,0.2959,0.03741
1245.129,0.297,0.03689
1246.093,0.2982,0.03642
1247.057,0.2994,0.036000000000000004
1248.021,0.3007,0.03563
1248.986,0.3024,0.03532
1249.95,0.3043,0.03503
1250.914,0.3064,0.03476
1251.878,0.3087,0.03449
1252.843,0.311,0.034260000000000006
1253.807,0.3133,0.034069999999999996
1254.771,0.3156,0.033960000000000004
1255.735,0.3178,0.03392
1256.6989999999998,0.3201,0.03395
1257.664,0.3226,0.034
1258.628,0.3255,0.03408
1259.5919999999999,0.3288,0.03418
1260.556,0.3326,0.0343
1261.521,0.3366,0.03445
1262.485,0.3405,0.03463
1263.4489999999998,0.3441,0.03481
1264.413,0.34700000000000003,0.03499
1265.378,0.349,0.03517
1266.3419999999999,0.3502,0.03535
1267.306,0.3506,0.03555
1268.27,0.3504,0.035769999999999996
1269.234,0.3499,0.03601
1270.1989999999998,0.3492,0.036239999999999994
1271.163,0.3484,0.036430000000000004
1272.127,0.3476,0.03657
