,1,2,3,4,5,6
2134.813,0.01922,0.03595,0.01532,0.01681,0.12,0.01226
2135.777,0.03637,0.05809,0.01521,0.01662,0.1283,0.02135
2136.741,0.05531,0.08046,0.01465,0.03028,0.1305,0.03292
2137.706,0.07268,0.0998,0.01262,0.05504,0.1287,0.04514
2138.67,0.08537,0.1143,0.008625,0.0839,0.1256,0.05586
2139.634,0.09176,0.124,0.003166,0.1079,0.1239,0.06324
2140.598,0.09264,0.1302,-0.00215,0.119,0.1251,0.06647
2141.562,0.09114,0.1348,-0.004653,0.1134,0.1293,0.06607
2142.527,0.09167,0.1389,-0.001392,0.09236,0.1353,0.06372
2143.491,0.09845,0.1424,0.009847,0.06232,0.1413,0.0617
2144.455,0.114,0.1438,0.02942,0.03231,0.1458,0.06203
2145.419,0.1381,0.1413,0.05539,0.01094,0.1478,0.06574
2146.384,0.168,0.1334,0.08359,0.004061,0.1467,0.07253
2147.348,0.1985,0.1198,0.1086,0.01351,0.1426,0.08087
2148.312,0.2232,0.1016,0.125,0.03725,0.1352,0.08835
2149.276,0.2356,0.08041,0.1289,0.0699,0.1237,0.09213
2150.241,0.231,0.05837,0.1188,0.104,0.1075,0.08969
2151.205,0.2069,0.03717,0.09667,0.1314,0.08597,0.0794
2152.169,0.1656,0.01844,0.0676,0.1453,0.06003,0.0616
2153.133,0.1142,0.004048,0.03919,0.1429,0.03318,0.03939
2154.098,0.06434,-0.003694,0.0197,0.1263,0.01116,0.01847
2155.062,0.02873,-0.00253,0.01649,0.103,9.239E-4,0.005873
2156.026,0.01812,0.009008,0.03379,0.08278,0.008855,0.00804
2156.99,0.03817,0.03065,0.07109,0.07537,0.03846,0.02858
2157.955,0.08739,0.0598,0.1227,0.08532,0.08825,0.06625
2158.919,0.1576,0.09214,0.1789,0.1098,0.1514,0.1147
2159.883,0.2361,0.1229,0.2279,0.1392,0.2171,0.1641
2160.847,0.3093,0.1488,0.2602,0.1612,0.273,0.2044
2161.811,0.3666,0.1688,0.2707,0.1665,0.3095,0.2285
2162.776,0.402,0.1844,0.2612,0.1527,0.3228,0.2352
2163.74,0.4152,0.1983,0.2389,0.1256,0.3156,0.2283
2164.704,0.409,0.212,0.2146,0.09613,0.2965,0.2152
2165.668,0.3883,0.2254,0.1988,0.07551,0.2765,0.2036
2166.633,0.3582,0.2359,0.1982,0.07076,0.2648,0.1983
2167.597,0.3228,0.2399,0.2138,0.08131,0.2654,0.1999
2168.561,0.2853,0.2345,0.241,0.1001,0.2755,0.2052
2169.525,0.2482,0.2196,0.2709,0.1172,0.2867,0.2088
2170.49,0.214,0.1976,0.294,0.1243,0.2887,0.2056
2171.454,0.1846,0.1723,0.3021,0.118,0.2737,0.1929
2172.418,0.1616,0.1472,0.2907,0.1005,0.2401,0.1711
2173.382,0.1455,0.1242,0.2601,0.07813,0.1934,0.1434
2174.347,0.1359,0.104,0.2147,0.05927,0.1447,0.1147
2175.311,0.1312,0.08652,0.1625,0.05109,0.1067,0.09063
2176.275,0.1298,0.07212,0.1127,0.05762,0.08896,0.07556
2177.239,0.13,0.06273,0.0739,0.0784,0.0945,0.07195
2178.203,0.1309,0.0618,0.0522,0.109,0.1187,0.07986
2179.168,0.1324,0.0732,0.05017,0.1427,0.1517,0.09727
2180.132,0.1359,0.1009,0.06719,0.1728,0.1832,0.1216
2181.096,0.1441,0.1474,0.1005,0.1947,0.2068,0.1509
2182.06,0.1603,0.2136,0.1475,0.2089,0.2245,0.1859
2183.025,0.188,0.298,0.2064,0.2214,0.245,0.2296
2183.989,0.2309,0.3979,0.2778,0.2427,0.2814,0.2869
2184.953,0.2919,0.5085,0.3626,0.2843,0.3453,0.3624
2185.917,0.3714,0.6237,0.4605,0.3539,0.4415,0.4573
2186.882,0.467,0.7355,0.5687,0.4521,0.5644,0.568
2187.846,0.5738,0.8353,0.6808,0.5714,0.6991,0.6854
2188.81,0.684,0.9145,0.7877,0.6983,0.8245,0.7975
2189.774,0.7889,0.9672,0.8792,0.8162,0.92,0.8914
2190.739,0.8791,0.9904,0.947,0.9097,0.9705,0.9569
2191.703,0.9465,0.985,0.9862,0.969,0.9712,0.9886
2192.667,0.9857,0.9548,0.9961,0.9908,0.9273,0.9866
2193.631,0.9951,0.9059,0.9791,0.9784,0.8514,0.956
2194.595,0.975,0.8452,0.9395,0.9392,0.7586,0.9037
2195.56,0.9275,0.7784,0.8811,0.8812,0.6619,0.8365
2196.524,0.8559,0.7092,0.8071,0.8109,0.5687,0.7596
2197.488,0.764,0.6389,0.72,0.732,0.4815,0.6754
2198.452,0.6563,0.5672,0.6226,0.6462,0.3989,0.5856
2199.417,0.539,0.4924,0.5186,0.5538,0.319,0.4912
2200.381,0.4192,0.414,0.4134,0.4555,0.2413,0.3944
2201.345,0.3048,0.3323,0.3132,0.3539,0.1681,0.2988
2202.309,0.2031,0.2502,0.2236,0.2538,0.1043,0.2094
2203.274,0.12,0.1722,0.1485,0.1623,0.05499,0.1317
2204.238,0.05887,0.1038,0.08987,0.0878,0.0245,0.07048
2205.202,0.0206,0.05027,0.04754,0.03797,0.0144,0.02941
2206.166,0.004302,0.01573,0.02053,0.01776,0.02342,0.0101
2207.131,0.008124,0.002788,0.008089,0.02801,0.04805,0.01227
2208.095,0.03003,0.01191,0.0108,0.06551,0.0836,0.03419
2209.059,0.06931,0.04216,0.03057,0.1239,0.1253,0.07351
2210.023,0.1262,0.09155,0.06962,0.1954,0.169,0.1277
2210.988,0.2012,0.1572,0.129,0.2728,0.2114,0.1941
2211.952,0.2933,0.2353,0.2077,0.3503,0.2506,0.2695
2212.916,0.3998,0.3212,0.3019,0.4244,0.2859,0.3506
2213.88,0.5153,0.4091,0.4056,0.4936,0.3176,0.4337
2214.844,0.6323,0.4934,0.5111,0.5571,0.3462,0.5147
2215.809,0.7419,0.5683,0.6096,0.6136,0.3717,0.5885
2216.773,0.8347,0.6291,0.6919,0.66,0.3931,0.6498
2217.737,0.902,0.6716,0.7495,0.6921,0.408,0.693
2218.701,0.9371,0.6926,0.7763,0.7049,0.4131,0.7132
2219.666,0.9363,0.6903,0.7688,0.6944,0.4053,0.7072
2220.63,0.9,0.664,0.7287,0.6593,0.3825,0.6745
2221.594,0.8324,0.6157,0.6623,0.6017,0.3452,0.6181
2222.558,0.7419,0.5501,0.5798,0.5267,0.2965,0.5443
2223.523,0.6384,0.4742,0.4923,0.4419,0.2417,0.4615
2224.487,0.5321,0.3958,0.4098,0.3553,0.1873,0.3784
2225.451,0.4308,0.3224,0.3383,0.2742,0.1387,0.302
2226.415,0.3398,0.2593,0.2792,0.2036,0.09951,0.2364
2227.38,0.2609,0.2083,0.2299,0.1457,0.07069,0.1827
2228.344,0.1935,0.1678,0.1865,0.1001,0.05119,0.1392
2229.308,0.1363,0.1346,0.1454,0.06517,0.03851,0.1034
2230.272,0.08827,0.1049,0.1055,0.03861,0.02963,0.0729
2231.236,0.04961,0.07658,0.06848,0.01916,0.02219,0.04667
2232.201,0.02134,0.0498,0.03713,0.005788,0.01489,0.02503
2233.165,0.00408,0.02643,0.01391,-0.001993,0.007607,0.008911
2234.129,-0.002835,0.008887,-3.378E-4,-0.004619,0.001156,-0.001026
2235.093,-0.001513,-0.001049,-0.00681,-0.002807,-0.003297,-0.004886
2236.058,0.004767,-0.003251,-0.00808,0.002274,-0.004748,-0.003767
2237.022,0.01239,6.246E-4,-0.006894,0.00917,-0.002774,5.583E-4
2237.986,0.01844,0.007825,-0.004993,0.01645,0.002199,0.006218
2238.95,0.02121,0.01546,-0.002809,0.02313,0.008827,0.01166
2239.915,0.02062,0.02145,4.209E-4,0.02892,0.01524,0.0161
2240.879,0.01791,0.02498,0.005872,0.03415,0.01971,0.01953
2241.843,0.01484,0.02641,0.01432,0.03938,0.02131,0.02245
2242.807,0.01307,0.02679,0.02551,0.04492,0.0203,0.02544
2243.772,0.01366,0.02706,0.03819,0.05051,0.01789,0.02878
2244.736,0.0169,0.0277,0.05051,0.05525,0.01556,0.03232
2245.7,0.0224,0.02869,0.06077,0.05786,0.01425,0.0355
2246.664,0.02929,0.02977,0.06797,0.05729,0.01393,0.03765
2247.628,0.03674,0.03089,0.07201,0.05333,0.0137,0.03842
2248.593,0.04422,0.03237,0.07365,0.04687,0.01254,0.03796
2249.557,0.05174,0.03481,0.07389,0.03969,0.01009,0.037
2250.521,0.05973,0.03878,0.07359,0.03394,0.007132,0.03658
2251.485,0.06868,0.04421,0.07305,0.03125,0.005379,0.03754
2252.45,0.07876,0.05018,0.07198,0.03202,0.006694,0.04008
2253.414,0.0896,0.055,0.06979,0.03521,0.01223,0.04357
2254.378,0.1002,0.05678,0.06595,0.03862,0.02174,0.04676
2255.342,0.1094,0.05424,0.06047,0.03985,0.03367,0.04826
2256.307,0.1158,0.04736,0.05401,0.03724,0.04574,0.04722
2257.271,0.1188,0.03753,0.04777,0.0306,0.0558,0.04365
2258.235,0.1179,0.02708,0.04308,0.0213,0.06246,0.03838
2259.199,0.1133,0.01854,0.04095,0.01168,0.06511,0.0327
2260.164,0.1055,0.01383,0.04169,0.004258,0.0637,0.02781
2261.128,0.09522,0.01362,0.04486,8.328E-4,0.05843,0.02438
2262.092,0.0834,0.01726,0.04941,0.002006,0.04973,0.02243
2263.056,0.07134,0.02317,0.05401,0.00722,0.03862,0.02156
2264.02,0.06046,0.02945,0.05739,0.01533,0.02677,0.02136
2264.985,0.05214,0.03451,0.05867,0.02518,0.01647,0.02161
2265.949,0.04737,0.03735,0.05738,0.03603,0.01024,0.02241
2266.913,0.04631,0.03765,0.05349,0.04753,0.00996,0.02399
2267.877,0.04807,0.03562,0.0473,0.05944,0.01624,0.02633
2268.842,0.05078,0.03178,0.03933,0.07113,0.02804,0.02904
2269.806,0.05215,0.02675,0.0303,0.08137,0.04271,0.03126
2270.77,0.05021,0.02114,0.02108,0.08843,0.05672,0.03195
2271.734,0.04401,0.01549,0.01256,0.09073,0.06667,0.03026
2272.699,0.03402,0.0103,0.005537,0.08751,0.07031,0.02594
2273.663,0.02202,0.005941,5.258E-4,0.07939,0.06703,0.01951
2274.627,0.01061,0.002575,-0.002364,0.06829,0.05803,0.01211
2275.591,0.002444,2.293E-4,-0.00349,0.05687,0.04594,0.00521
2276.556,-4.849E-4,-0.001138,-0.003561,0.04762,0.034,1.571E-4
2277.52,0.002414,-0.001511,-0.003323,0.04201,0.02509,-0.002213
2278.484,0.01056,-7.86E-4,-0.003316,0.04022,0.02112,-0.001693
2279.448,0.02212,0.001089,-0.003685,0.04097,0.02238,0.001159
2280.413,0.03466,0.003943,-0.004217,0.04226,0.02776,0.005248
2281.377,0.04582,0.007258,-0.00454,0.04217,0.03519,0.009308
2282.341,0.05396,0.01022,-0.004386,0.03973,0.04244,0.01231
2283.305,0.05802,0.01171,-0.004031,0.03485,0.04758,0.01339
2284.269,0.05875,0.01126,-0.003524,0.02891,0.05017,0.01282
2285.234,0.0574,0.008912,-0.003204,0.02348,0.05042,0.01115
2286.198,0.0553,0.005366,-0.003392,0.01976,0.04874,0.009054
2287.162,0.05349,0.001821,-0.004119,0.01814,0.04531,0.00714
2288.126,0.05278,-3.814E-4,-0.005033,0.01845,0.04022,0.005885
2289.091,0.05335,-3.533E-4,-0.005537,0.01996,0.03357,0.005479
2290.055,0.05491,0.002002,-0.005073,0.02195,0.02576,0.005907
2291.019,0.05684,0.005957,-0.003425,0.02392,0.01779,0.00702
2291.983,0.0583,0.01029,-8.865E-4,0.02559,0.01083,0.008501
2292.948,0.05844,0.01361,0.001798,0.02669,0.005819,0.009835
2293.912,0.05747,0.01531,0.004187,0.02742,0.003578,0.01102
2294.876,0.05559,0.01577,0.005548,0.0268,0.002252,0.01138
2295.84,0.05266,0.01444,0.005881,0.02546,0.003261,0.0112
2296.805,0.04864,0.01164,0.004738,0.02286,0.005476,0.01011
2297.769,0.04364,0.008244,0.001958,0.01802,0.006641,0.007604
