xc,xoop,xip,ip,oop,complete
16.159437,16.159437,7.0807004,71.941315,49.29453,46.0741525
16.211987,16.211987,7.1037269,69.74615,50.18645,46.3671225
16.264538,16.264538,7.1267538,68.7653900000001,49.17162,46.15655
16.317089,16.317089,7.1497803,65.453865,50.0122375,45.9350875
16.36964,16.36964,7.1728067,65.66229,48.1168475,45.947605
16.422192,16.422192,7.1958337,64.79416,49.196575,45.4879925
16.474743,16.474743,7.2188601,63.485585,48.8407875,46.0430975
16.527294,16.527294,7.2418871,63.245425,47.0181125,45.65047
16.579844,16.579844,7.2649136,64.17186,48.290065,45.8091475
16.632395,16.632395,7.2879405,64.31429,47.4281775,45.8282575
16.684946,16.684946,7.310967,63.379185,46.3305925,45.49804
16.737497,16.737497,7.3339934,63.135125,45.77862,45.154625
16.790049,16.790049,7.3570204,65.22324,46.1538375,45.1983725
16.8426,16.8426,7.3800468,68.4621250000001,46.4028025,44.8724875
16.895151,16.895151,7.4030738,66.22626,47.86208,45.052565
16.947702,16.947702,7.4261003,64.77851,48.332885,45.53477
17.000252,17.000252,7.4491267,62.207975,45.7790075,45.9828075
17.052803,17.052803,7.4721537,63.60305,45.72711,45.8367575
17.105354,17.105354,7.4951801,64.7363049999999,45.92689,45.8745725
17.157906,17.157906,7.5182071,63.61929,47.4670275,46.1241325
17.210457,17.210457,7.5412335,63.51529,45.285185,46.3878275
17.263008,17.263008,7.5642605,63.5643050000001,45.3860325,46.3103725
17.315559,17.315559,7.5872869,62.351865,44.96697,46.50974
17.368109,17.368109,7.6103134,61.6585400000001,45.7178525,46.9747025
17.42066,17.42066,7.6333404,62.8660800000001,46.7748125,46.062215
17.473211,17.473211,7.6563668,64.45148,44.793775,46.185565
17.525763,17.525763,7.6793938,64.4257700000001,42.3689275,45.6719175
17.578314,17.578314,7.7024202,63.651325,46.55197,45.81194
17.630865,17.630865,7.7254472,64.233095,44.0550575,45.1996425
17.683416,17.683416,7.7484736,64.53277,40.89902,44.89136
17.735968,17.735968,7.7715001,63.722205,42.143845,44.3405725
17.788517,17.788517,7.7945271,64.21269,44.05048,43.8981875
17.841068,17.841068,7.8175535,61.607425,45.70909,43.2802225
17.89362,17.89362,7.8405805,58.97556,40.937085,42.9369625
17.946171,17.946171,7.8636069,61.858935,39.809355,42.6521875
17.998722,17.998722,7.8866334,63.82122,41.8976025,42.2966725
18.051273,18.051273,7.9096603,60.889215,41.78835,41.73631
18.103825,18.103825,7.9326868,59.677485,43.6263175,41.22824
18.156374,18.156374,7.9557137,60.795785,41.81203,40.6140325
18.208925,18.208925,7.9787402,60.49762,44.7651800000001,40.5070825
18.261477,18.261477,8.0017672,57.7915649999999,42.8881575,40.1807675
18.314028,18.314028,8.0247936,58.86594,42.32571,40.11572
18.366579,18.366579,8.0478201,60.7461100000001,43.112545,40.0256
18.41913,18.41913,8.0708466,59.41997,44.27557,39.9357025
18.471682,18.471682,8.093874,59.2035600000001,39.46752,38.70284
18.524231,18.524231,8.1169004,60.316155,40.419505,38.4398175
18.576782,18.576782,8.1399269,60.69762,40.0744425,38.27891
18.629333,18.629333,8.1629534,61.028195,41.3357175,37.8683125
18.681885,18.681885,8.1859798,60.56652,41.4679075,37.311825
18.734436,18.734436,8.2090073,57.979395,38.3392725,37.04376
18.786987,18.786987,8.2320337,56.212275,39.19276,37.1847575
18.839539,18.839539,8.2550602,58.20901,36.969505,36.7620425
18.89209,18.89209,8.2780867,58.549805,35.6605275,36.238445
18.944639,18.944639,8.3011141,57.43006,37.12376,36.64668
18.99719,18.99719,8.3241405,56.774865,39.7292025,36.4347575
19.049742,19.049742,8.347167,59.346935,40.385455,35.98273
19.102293,19.102293,8.3701935,60.169655,39.08237,36.1624775
19.154844,19.154844,8.3932199,59.226495,38.2050225,35.7085825
19.207396,19.207396,8.4162474,57.1694,37.39025,35.0448625
19.259947,19.259947,8.4392738,57.218725,38.785705,35.4675975
19.312496,19.312496,8.4623003,58.655645,37.7775725,34.7532175
19.365047,19.365047,8.4853268,58.732585,37.16471,33.6621225
19.417599,19.417599,8.5083532,57.420385,37.6865775,34.39491
19.47015,19.47015,8.5313807,56.96816,38.5311475,34.85666
19.522701,19.522701,8.5544071,56.48402,36.8355725,34.64121
19.575253,19.575253,8.5774336,55.63168,36.71288,34.096265
19.627804,19.627804,8.6004601,56.002465,40.832415,34.037145
19.680355,19.680355,8.6234865,56.75687,42.998685,34.1119975
19.732904,19.732904,8.6465139,56.277245,53.7085475,34.583625
19.785456,19.785456,8.6695404,54.710685,53.53871,34.39165
19.838007,19.838007,8.6925669,52.7185,40.3476025,33.6849725
19.890558,19.890558,8.7155933,51.8904750000001,39.2145875,33.161
19.94311,19.94311,8.7386208,51.24504,38.44835,33.148105
19.995661,19.995661,8.7616472,55.37734,37.65228,32.8831825
20.048212,20.048212,8.7846737,57.83976,38.5631325,32.6849175
20.100761,20.100761,8.8077002,56.56603,35.7857175,32.8741825
20.153313,20.153313,8.8307266,54.589915,36.530535,32.72131
20.205864,20.205864,8.853754,53.347715,35.49786,32.598855
20.258415,20.258415,8.8767805,51.8688350000001,34.89019,32.2308825
20.310966,20.310966,8.899807,50.22757,35.92156,31.8651875
20.363518,20.363518,8.9228334,50.80361,36.0013725,31.9231525
20.416069,20.416069,8.9458599,51.526635,36.7911425,31.83195
20.46862,20.46862,8.9688873,53.19927,37.91055,31.6691425
20.52117,20.52117,8.9919138,51.45231,35.082565,31.7067875
20.573721,20.573721,9.0149403,51.092225,36.78457,31.572585
20.626272,20.626272,9.0379667,51.3924250000001,36.8334475,31.6719775
20.678823,20.678823,9.0609941,52.407155,36.3745275,31.2110225
20.731375,20.731375,9.0840206,52.4099950000001,35.0851275,31.3245625
20.783926,20.783926,9.1070471,53.153315,36.892245,31.12994
20.836477,20.836477,9.1300735,51.2118150000001,34.4403275,30.1584625
20.889027,20.889027,9.1531,49.432605,34.790075,30.0186025
20.941578,20.941578,9.1761274,49.31248,34.819275,30.7344375
20.994129,20.994129,9.1991539,50.68457,35.2795525,30.90455
21.04668,21.04668,9.2221804,52.43026,36.05334,30.943015
21.099232,21.099232,9.2452068,51.129705,34.1653575,30.617095
21.151783,21.151783,9.2682333,51.0129150000001,33.4092925,29.970205
21.204334,21.204334,9.2912607,50.58611,35.0225025,30.3288925
21.256884,21.256884,9.3142872,51.3134700000001,34.383215,29.90473
21.309435,21.309435,9.3373137,50.541125,34.548345,29.631055
21.361986,21.361986,9.3603401,49.609065,33.0728525,29.73699
21.414537,21.414537,9.3833666,47.91993,33.410045,30.14383
21.467089,21.467089,9.406394,48.403525,32.48973,29.7506125
21.51964,21.51964,9.4294205,51.26524,33.5416225,29.7337975
21.572191,21.572191,9.4524469,51.756115,35.5396675,29.39184
21.624743,21.624743,9.4754734,51.55433,35.875115,29.3477975
21.677292,21.677292,9.4985008,52.145825,35.5834,29.3634075
21.729843,21.729843,9.5215273,52.44715,34.88367,29.5086725
21.782394,21.782394,9.5445538,51.5370675,34.48773,29.236375
21.834946,21.834946,9.5675802,49.974965,34.0681875,29.1767725
21.887497,21.887497,9.5906067,49.7600975,32.5074825,28.9638
21.940048,21.940048,9.6136341,50.4324825,33.7227425,28.945805
21.992599,21.992599,9.6366606,49.1012875,34.3546175,28.541515
22.045149,22.045149,9.659687,50.2635375,33.854095,28.7177225
22.0977,22.0977,9.6827135,50.9962575,34.5860325,28.912625
22.150251,22.150251,9.70574,49.1852400000001,34.0395625,28.5977975
22.202803,22.202803,9.7287674,48.0627300000001,34.403095,28.678875
22.255354,22.255354,9.7517939,50.2359475000001,32.055235,28.37668
22.307905,22.307905,9.7748203,50.67869,32.1774875,28.8242975
22.360456,22.360456,9.7978468,50.404475,32.326145,28.97505
22.413008,22.413008,9.8208733,51.2361625,33.0922075,28.93565
22.465557,22.465557,9.8439007,49.31459,34.616895,28.524495
22.518108,22.518108,9.8669271,47.016155,32.153715,28.7302475
22.57066,22.57066,9.8899536,47.1780975,32.62818,28.6419725
22.623211,22.623211,9.9129801,48.288135,33.0230225,28.999315
22.675762,22.675762,9.9360075,49.2857175,32.4800825,28.7360025
22.728313,22.728313,9.959034,49.132535,33.9002275,28.519535
22.780865,22.780865,9.9820604,49.0287125,32.0427275,28.52379
22.833414,22.833414,10.005087,47.313735,33.6381025,28.649125
22.885965,22.885965,10.028113,45.5839075,32.6506525,28.4121925
22.938517,22.938517,10.051141,44.2496175,32.4622825,28.5649775
22.991068,22.991068,10.074167,45.173,34.874295,28.23431
23.043619,23.043619,10.097194,45.2559525,33.743935,28.21167
23.09617,23.09617,10.12022,46.2956225,31.1577025,28.3064075
23.148722,23.148722,10.143247,47.0578325000001,31.7641175,28.498705
23.201273,23.201273,10.166274,48.32172,32.54942,28.14178
23.253822,23.253822,10.189301,47.9766800000001,31.72199,27.8960275
23.306374,23.306374,10.212327,48.0678875000001,32.6184925,28.556815
23.358925,23.358925,10.235353,46.5183575,34.38645,28.3394675
23.411476,23.411476,10.25838,49.00822,31.8258425,27.9324275
23.464027,23.464027,10.281407,48.2631075,31.3782775,27.9405
23.516579,23.516579,10.304434,45.274075,31.8241125,28.1713925
23.56913,23.56913,10.32746,45.9030425,32.4875675,28.139355
23.621679,23.621679,10.350487,48.95918,34.8355,28.3584275
23.674231,23.674231,10.373514,48.3625225,33.2549375,28.1364275
23.726782,23.726782,10.396541,47.9324775,32.84585,28.195255
23.779333,23.779333,10.419567,47.4891625,33.6291225,28.17266
23.831884,23.831884,10.442594,46.28198,32.2293725,28.2441675
23.884436,23.884436,10.46562,44.871655,31.19265,28.4519725
23.936987,23.936987,10.488647,44.26723,30.9059325,28.603425
23.989536,23.989536,10.511674,44.7873375,32.1073175,28.412745
24.042088,24.042088,10.5347,45.4317,30.537035,28.37439
24.094639,24.094639,10.557727,44.9460475,28.2666925,28.3451925
24.14719,24.14719,10.580753,43.6924575,30.192535,28.092825
24.199741,24.199741,10.603781,43.3787525,30.18182,28.4781625
24.252293,24.252293,10.626807,43.04576,30.37238,28.5989575
24.304844,24.304844,10.649834,44.4308175,30.0994875,28.3324225
24.357395,24.357395,10.67286,45.9706625,30.2864725,27.9012325
24.409945,24.409945,10.695887,46.523685,33.224065,28.2325825
24.462496,24.462496,10.718914,45.8186950000001,31.881205,28.56441
24.515047,24.515047,10.74194,45.0424175,30.5355225,28.21114
24.567598,24.567598,10.764967,43.9714325,32.101135,28.34969
24.62015,24.62015,10.787993,44.09995,32.1554575,28.545215
24.672701,24.672701,10.811021,45.625705,31.30302,28.506295
24.725252,24.725252,10.834047,46.4350625000001,32.9896825,28.7369375
24.777802,24.777802,10.857074,46.9254325,33.4142275,28.68996
24.830353,24.830353,10.8801,45.29179,34.1482975,28.16035
24.882904,24.882904,10.903127,46.521495,31.8023375,28.3527075
24.935455,24.935455,10.926154,47.239825,31.95843,28.414225
24.988007,24.988007,10.949181,46.947345,32.13774,28.2874125
